name,index,pct,trimethoprim_percent,code,is_london
NHS DARLINGTON CCG,0,00C,69.89971795675338,00C,False
"NHS DURHAM DALES, EASINGTON AND SEDGEFIELD CCG",1,00D,67.89307411907654,00D,False
NHS NORTH DURHAM CCG,2,00J,69.56606596838202,00J,False
NHS HARTLEPOOL AND STOCKTON-ON-TEES CCG,3,00K,67.90047924951566,00K,False
NHS NORTHUMBERLAND CCG,4,00L,62.5690418587666,00L,False
NHS SOUTH TEES CCG,5,00M,68.41305626347774,00M,False
NHS SOUTH TYNESIDE CCG,6,00N,66.42261353104728,00N,False
NHS SUNDERLAND CCG,7,00P,71.0950689875997,00P,False
NHS BLACKBURN WITH DARWEN CCG,8,00Q,70.5762059424997,00Q,False
NHS BLACKPOOL CCG,9,00R,63.90157517009973,00R,False
NHS BOLTON CCG,10,00T,63.02005635670479,00T,False
NHS BURY CCG,11,00V,61.527012948355406,00V,False
NHS CENTRAL MANCHESTER CCG,12,00W,67.47967479674797,00W,False
NHS CHORLEY AND SOUTH RIBBLE CCG,13,00X,75.99412700354827,00X,False
NHS OLDHAM CCG,14,00Y,62.694864048338374,00Y,False
NHS EAST LANCASHIRE CCG,15,01A,63.41769957527954,01A,False
NHS EASTERN CHESHIRE CCG,16,01C,64.27575954659481,01C,False
"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",17,01D,63.59501819199552,01D,False
NHS GREATER PRESTON CCG,18,01E,82.4260042283298,01E,False
NHS HALTON CCG,19,01F,68.8850174216028,01F,False
NHS SALFORD CCG,20,01G,49.555927403784274,01G,False
NHS NORTH CUMBRIA CCG,21,01H,71.91160547297962,01H,False
NHS KNOWSLEY CCG,22,01J,67.82386072708654,01J,False
NHS MORECAMBE BAY CCG,23,01K,62.633379282176946,01K,False
NHS SOUTH MANCHESTER CCG,24,01N,56.75675675675676,01N,False
NHS SOUTH CHESHIRE CCG,25,01R,62.77223473876193,01R,False
NHS SOUTH SEFTON CCG,26,01T,64.3765903307888,01T,False
NHS SOUTHPORT AND FORMBY CCG,27,01V,67.17404865876482,01V,False
NHS STOCKPORT CCG,28,01W,66.71442215854823,01W,False
NHS ST HELENS CCG,29,01X,65.37417018708508,01X,False
NHS TAMESIDE AND GLOSSOP CCG,30,01Y,58.73441108545035,01Y,False
NHS TRAFFORD CCG,31,02A,67.00231687756192,02A,False
NHS VALE ROYAL CCG,32,02D,53.13459801264679,02D,False
NHS WARRINGTON CCG,33,02E,65.43630338733432,02E,False
NHS WEST CHESHIRE CCG,34,02F,71.82435964453737,02F,False
NHS WEST LANCASHIRE CCG,35,02G,64.25722831505483,02G,False
NHS WIGAN BOROUGH CCG,36,02H,50.3827985013846,02H,False
NHS FYLDE AND WYRE CCG,37,02M,70.3150730047206,02M,False
"NHS AIREDALE, WHARFEDALE AND CRAVEN CCG",38,02N,59.04669260700389,02N,False
NHS BARNSLEY CCG,39,02P,43.22896023252741,02P,False
NHS BASSETLAW CCG,40,02Q,58.2441113490364,02Q,False
NHS BRADFORD DISTRICTS CCG,41,02R,63.067711629265446,02R,False
NHS CALDERDALE CCG,42,02T,61.681187479832204,02T,False
NHS LEEDS NORTH CCG,43,02V,63.46137959520859,02V,False
NHS BRADFORD CITY CCG,44,02W,62.5230882896195,02W,False
NHS DONCASTER CCG,45,02X,67.9024116657319,02X,False
NHS EAST RIDING OF YORKSHIRE CCG,46,02Y,68.83006461852398,02Y,False
NHS GREATER HUDDERSFIELD CCG,47,03A,64.93374902572097,03A,False
NHS LEEDS WEST CCG,48,03C,58.58763380731746,03C,False
"NHS HAMBLETON, RICHMONDSHIRE AND WHITBY CCG",49,03D,68.87798896382587,03D,False
NHS HARROGATE AND RURAL DISTRICT CCG,50,03E,62.51005631536605,03E,False
NHS HULL CCG,51,03F,73.7846852600951,03F,False
NHS LEEDS SOUTH AND EAST CCG,52,03G,62.23383909218412,03G,False
NHS NORTH EAST LINCOLNSHIRE CCG,53,03H,72.23524997655004,03H,False
NHS NORTH KIRKLEES CCG,54,03J,67.23044397463002,03J,False
NHS NORTH LINCOLNSHIRE CCG,55,03K,71.40615570307786,03K,False
NHS ROTHERHAM CCG,56,03L,44.880594880594884,03L,False
NHS SCARBOROUGH AND RYEDALE CCG,57,03M,66.62256912289986,03M,False
NHS SHEFFIELD CCG,58,03N,73.1325257109395,03N,False
NHS VALE OF YORK CCG,59,03Q,66.63520790540164,03Q,False
NHS WAKEFIELD CCG,60,03R,64.65151247125421,03R,False
NHS LINCOLNSHIRE EAST CCG,61,03T,67.22418581166372,03T,False
NHS CORBY CCG,62,03V,65.44256120527307,03V,False
NHS EAST LEICESTERSHIRE AND RUTLAND CCG,63,03W,66.67815130186543,03W,False
NHS EREWASH CCG,64,03X,58.89200258676439,03X,False
NHS HARDWICK CCG,65,03Y,65.47845142439736,03Y,False
NHS LEICESTER CITY CCG,66,04C,73.00789662598707,04C,False
NHS LINCOLNSHIRE WEST CCG,67,04D,63.60987578592241,04D,False
NHS MANSFIELD AND ASHFIELD CCG,68,04E,63.94074853186081,04E,False
NHS MILTON KEYNES CCG,69,04F,60.0711743772242,04F,False
NHS NENE CCG,70,04G,63.76657824933687,04G,False
NHS NEWARK AND SHERWOOD CCG,71,04H,62.9757785467128,04H,False
NHS NORTH DERBYSHIRE CCG,72,04J,61.98294916324597,04J,False
NHS NOTTINGHAM CITY CCG,73,04K,64.20450896011305,04K,False
NHS NOTTINGHAM NORTH AND EAST CCG,74,04L,66.5788433671453,04L,False
NHS NOTTINGHAM WEST CCG,75,04M,60.31375874496502,04M,False
NHS RUSHCLIFFE CCG,76,04N,65.79426867649495,04N,False
NHS SOUTH WEST LINCOLNSHIRE CCG,77,04Q,65.1985274783066,04Q,False
NHS SOUTHERN DERBYSHIRE CCG,78,04R,60.54128738621587,04R,False
NHS WEST LEICESTERSHIRE CCG,79,04V,68.0404645934807,04V,False
NHS BIRMINGHAM SOUTH AND CENTRAL CCG,80,04X,53.53629976580796,04X,False
NHS CANNOCK CHASE CCG,81,04Y,71.46190642865477,04Y,False
NHS COVENTRY AND RUGBY CCG,82,05A,63.52679104180755,05A,False
NHS DUDLEY CCG,83,05C,42.16519468977393,05C,False
NHS EAST STAFFORDSHIRE CCG,84,05D,69.050568757743,05D,False
NHS HEREFORDSHIRE CCG,85,05F,64.71615720524018,05F,False
NHS NORTH STAFFORDSHIRE CCG,86,05G,70.74958440380837,05G,False
NHS WARWICKSHIRE NORTH CCG,87,05H,64.9057654813852,05H,False
NHS REDDITCH AND BROMSGROVE CCG,88,05J,66.98637865720964,05J,False
NHS SANDWELL AND WEST BIRMINGHAM CCG,89,05L,60.98337312057629,05L,False
NHS SHROPSHIRE CCG,90,05N,68.86132315521628,05N,False
NHS SOLIHULL CCG,91,05P,60.15299026425591,05P,False
NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,92,05Q,66.52296598212885,05Q,False
NHS SOUTH WARWICKSHIRE CCG,93,05R,60.21637984191939,05R,False
NHS SOUTH WORCESTERSHIRE CCG,94,05T,63.92857142857142,05T,False
NHS STAFFORD AND SURROUNDS CCG,95,05V,67.4738994726079,05V,False
NHS STOKE ON TRENT CCG,96,05W,70.44328718404674,05W,False
NHS TELFORD AND WREKIN CCG,97,05X,71.7565074810412,05X,False
NHS WALSALL CCG,98,05Y,65.60912981455064,05Y,False
NHS WOLVERHAMPTON CCG,99,06A,68.71698637753684,06A,False
NHS WYRE FOREST CCG,100,06D,66.7733595962083,06D,False
NHS BEDFORDSHIRE CCG,101,06F,39.498927429473426,06F,False
NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,102,06H,64.66495418781982,06H,False
NHS EAST AND NORTH HERTFORDSHIRE CCG,103,06K,57.93918440218777,06K,False
NHS IPSWICH AND EAST SUFFOLK CCG,104,06L,70.5644393679802,06L,False
NHS GREAT YARMOUTH AND WAVENEY CCG,105,06M,68.07574832009774,06M,False
NHS HERTS VALLEYS CCG,106,06N,59.52828526111731,06N,False
NHS LUTON CCG,107,06P,47.410429230223485,06P,False
NHS MID ESSEX CCG,108,06Q,66.54033567948024,06Q,False
NHS NORTH EAST ESSEX CCG,109,06T,63.6905311778291,06T,False
NHS NORTH NORFOLK CCG,110,06V,68.43460764587526,06V,False
NHS NORWICH CCG,111,06W,71.66694616803623,06W,False
NHS SOUTH NORFOLK CCG,112,06Y,68.16876903001305,06Y,False
NHS THURROCK CCG,113,07G,71.45541082164328,07G,False
NHS WEST ESSEX CCG,114,07H,61.98858516070892,07H,False
NHS WEST NORFOLK CCG,115,07J,62.64038231780167,07J,False
NHS WEST SUFFOLK CCG,116,07K,68.75233052427474,07K,False
NHS BARKING AND DAGENHAM CCG,117,07L,70.79407806191116,07L,True
NHS BARNET CCG,118,07M,57.16192170818505,07M,True
NHS BEXLEY CCG,119,07N,66.18786313750807,07N,True
NHS BRENT CCG,120,07P,59.037558685446015,07P,True
NHS BROMLEY CCG,121,07Q,66.11668426610349,07Q,True
NHS CAMDEN CCG,122,07R,55.741399762752074,07R,True
NHS CITY AND HACKNEY CCG,123,07T,53.80063124671226,07T,True
NHS CROYDON CCG,124,07V,68.27191785273283,07V,True
NHS EALING CCG,125,07W,56.61698835410049,07W,True
NHS ENFIELD CCG,126,07X,63.183117538254585,07X,True
NHS HOUNSLOW CCG,127,07Y,63.43975283213182,07Y,True
NHS GREENWICH CCG,128,08A,63.08529945553539,08A,True
NHS HAMMERSMITH AND FULHAM CCG,129,08C,56.294809291654715,08C,True
NHS HARINGEY CCG,130,08D,60.30057803468208,08D,True
NHS HARROW CCG,131,08E,58.791961635076504,08E,True
