month,bnf_name,bnf_code,actual_cost,body,scalp
2019-01-01,Betameth Diprop/Salic Acid_Oint 0.05/3%,1304000D0AABBBB,74.5985,14,0
2019-01-01,Clotrimazole_Spy 1% 40ml,1310020H0AAAEAE,8.77411,25,0
2019-01-01,Fludroxycortide_Tape 7.5cm x 20cm,1304000T0AACECE,253.76799,7,0
2019-01-01,Betameth Val/Clioquinol_Oint 0.1%/3%,1304000F0AACDCD,36.09878,560,0
2019-01-01,Sod Bicarb_(S),0101012B0AAAPAP,13.91396,1,0
2019-01-01,Betameth Diprop_Crm 0.05%,1304000D0AAAAAA,4.0344,36,0
2019-01-01,Benzoyl Per/Clindamycin Phos_Gel 3%/1%,1306010Y0AAABAB,73.23715999999999,470,0
2019-01-01,Heparinoid_Crm 0.3%,1314000H0AAAAAA,22.24466,6,0
2019-01-01,Benzoyl Per/Clindamycin Phos_Gel 3%/1%,1306010Y0AAABAB,109.83713999999999,36,0
2019-01-01,Lactic Acid/Salic Acid_Paint 16.7/16.7%,1307000M0AAAWAW,27.043259999999997,5,0
2019-01-01,Sod Fusidate_Oint 2%,1310012Q0AAAAAA,12.68162,2,0
2019-01-01,Amorolfine HCl_Nail Lacquer Kit 5% 5ml,1310020A0AAAAAA,5.33685,92,0
2019-01-01,Fluticasone Prop_Crm 0.05%,1304000S0AAAAAA,10.58408,4,0
2019-01-01,Heparinoid_Gel 0.3%,1314000H0AAABAB,18.55375,24,0
2019-01-01,Fluocinolone Aceton_Oint 0.00625%,1304000N0AABCBC,17.99374,10,0
2019-01-01,Betameth Diprop/Clotrimazole_Crm0.064/1%,1304000D0AACACA,41.24080000000001,88,0
2019-01-01,Amorolfine HCl_Nail Lacquer Kit 5% 5ml,1310020A0AAAAAA,10.54688,1,0
2019-01-01,Betameth Val_Oint 0.025% (1 in 4),1304000F0AABBBB,46.97704,32,0
2019-01-01,Capsaicin_Crm 0.075%,1003020AAAAAAAA,365.68462,25,0
2019-01-01,Heparinoid_Crm 0.3%,1314000H0AAAAAA,40.848,10,0
2019-01-01,Lido/Hydrocort Acet_Oint 5%/0.275%,0107020J0AAAGAG,19.4819,32,0
2019-01-01,Heparinoid_Crm 0.3%,1314000H0AAAAAA,29.65128,8,0
2019-01-01,Calcipotriol/Betameth_Gel 0.005%/0.05%,1305020D0AAAGAG,379.97455,48,0
2019-01-01,Lido HCl 2%/Chlorhex_Gel 6ml Pfs,1502010J0AABQBQ,13.04048,4,0
2019-01-01,Paraf_Soft Yellow (S),1302010M0AAAAAA,11.04598,1,0
2019-01-01,Clindamycin Phos_Lot 1%,1306010F0AAABAB,33.05453,48,0
2019-01-01,Alum Chlor_Soln 20%,1312000C0AAASAS,6.5404,76,0
2019-01-01,Adapalene_Crm 0.1%,1306010H0AAABAB,152.60627,36,0
2019-01-01,Ketoconazole_Crm 2%,1310020L0AAAAAA,35.52972,9,0
2019-01-01,Terbinafine HCl_Soln 1%,131002030AAADAD,31.75505,1,0
2019-01-01,Azelaic Acid_Crm 20%,1306010B0AAAAAA,25.0663,25,0
2019-01-01,Betameth Diprop_Oint 0.05%,1304000D0AABABA,8.0688,4,0
2019-01-01,Metronidazole_Crm 0.75%,1310012K0AAAXAX,24.46597,3,0
2019-01-01,Clindamycin Phos_Gel 1%,1306010F0AAADAD,64.36408,5,0
2019-01-01,Hydrocort_Crm 0.1%,1304000V0AAAWAW,10.12305,3,0
2019-01-01,Sod Bicarb_(S),0101012B0AAAPAP,2.99068,4,0
2019-01-01,Hydrocort/Crotamiton_Crm 0.25%/10%,1304000V0AAAJAJ,10.120000000000001,24,0
2019-01-01,Lido HCl 2%/Chlorhex_Gel 6ml Pfs,1502010J0AABQBQ,26.10575,28,0
2019-01-01,Adapalene/Benzoyl Per_Gel 0.1%/2.5%,1306010Z0AAAAAA,145.07580000000002,70,0
2019-01-01,Silver Sulfadiazine_Crm 1%,1310011Y0AAAAAA,16.75002,4,0
2019-01-01,Alum Chlor_Soln 20%,1312000C0AAASAS,6.98895,1,0
2019-01-01,Hydrocort/Crotamiton_Crm 0.25%/10%,1304000V0AAAJAJ,2.02648,216,0
2019-01-01,Hydrocort_Crm 0.1%,1304000V0AAAWAW,22.52637,9,0
2019-01-01,Urea/Lactic Acid_Crm 10%/5%,1302010U0AAAEAE,124.01293,4,0
2019-01-01,Paraf_Soft Wte (S),1302010N0AAAAAA,25.075580000000002,5,0
2019-01-01,Olive Oil_Liq,190605000AACACA,1.19115,2,0
2019-01-01,Adapalene/Benzoyl Per_Gel 0.1%/2.5%,1306010Z0AAAAAA,181.31685,20,0
2019-01-01,Adapalene/Benzoyl Per_Gel 0.1%/2.5%,1306010Z0AAAAAA,199.53037,198,0
2019-01-01,Salic Acid_Soln 26%,1307000M0AABABA,9.94982,9,0
2019-01-01,Betameth Val_Crm 0.025% (1 in 4),1304000F0AAABAB,52.799569999999996,17,0
2019-01-01,Ketoconazole_Crm 2%,1310020L0AAAAAA,19.71394,45,0
2019-01-01,Fluocinolone Aceton_Gel 0.025%,1304000N0AABDBD,34.10638,2,0
2019-01-01,Cetomacrogol_Crm (For A) BP 1988,1301010D0AAAAAA,210.36088,336,0
2019-01-01,Metronidazole_Crm 0.75%,1310012K0AAAXAX,9.1701,13,0
2019-01-01,Hydrocort_Crm 0.1%,1304000V0AAAWAW,15.79715,3,0
2019-01-01,Lido_Oint 5%,1502010I0AAAEAE,34.44052,17,0
2019-01-01,Betameth Val_Crm 0.025% (1 in 4),1304000F0AAABAB,26.35019,3,0
2019-01-01,Calcipotriol/Betameth_Foam 50mcg/0.5mg/g,1305020D0AAAIAI,147.31561,8,0
2019-01-01,Capsaicin_Crm 0.075%,1003020AAAAAAAA,67.68676,28,0
2019-01-01,Salicylic Acid/Mucopolysac_Gel 2%/0.2%,1003020W0AAAAAA,113.5963,24,0
2019-01-01,Calcipotriol_Scalp Soln 50mcg/ml,1305020D0AAACAC,687.1203,0,7
2019-01-01,Betameth Diprop_Oint 0.05%,1304000D0AABABA,9.71466,2,0
2019-01-01,Paraf_Soft Wte (S),1302010N0AAAAAA,1.42313,3,0
2019-01-01,Betameth Diprop/Salic Acid_Oint 0.05/3%,1304000D0AABBBB,65.34791,10,0
2019-01-01,Pot Permanganate_Cutaneous Soln Tab400mg,1311060Q0AAACAC,66.96798,5,0
2019-01-01,Urea/Lauromacrogols_Crm 5%/3%,1302010U0AAANAN,5.24099,36,0
2019-01-01,Testosterone_Gel 2% (10mg per actuation),0604020K0AABMBM,266.18674000000004,7,0
2019-01-01,Dimeticone/Benzalk Chlor_Crm 22%/0.1%,1302020D0AAACAC,1.64594,36,0
2019-01-01,Betameth Diprop/Salic Acid_Oint 0.05/3%,1304000D0AABBBB,73.85598,14,0
2019-01-01,Capsaicin_Crm 0.075%,1003020AAAAAAAA,352.12743,23,0
2019-01-01,Sod Fusidate_Oint 2%,1310012Q0AAAAAA,27.44859,11,0
2019-01-01,Neomycin Sulf_Crm 0.5%,1310011P0AAAAAA,220.11335,1,0
2019-01-01,Alum Chlor_Spy 20% 30ml,1312000C0AAAWAW,24.84963,1,0
2019-01-01,Paraf_Soft Yellow (S),1302010M0AAAAAA,1166.39714,4,0
2019-01-01,Cetomacrogol_Crm (For A) BP 1988,1301010D0AAAAAA,31.30976,420,0
2019-01-01,Betameth Val/Clioquinol_Crm 0.1%/3%,1304000F0AACACA,252.69148,14,0
2019-01-01,Betameth Diprop/Salic Acid_Oint 0.05/3%,1304000D0AABBBB,54.30919,14,0
2019-01-01,Mag Sulf_Paste,1310050M0AAAAAA,9.25683,12,0
2019-01-01,Cinchocaine/Prednisolone_Oint 0.5%/0.19%,0107020P0AAACAC,9.03095,546,0
2019-01-01,Hydrocort_Crm 0.1%,1304000V0AAAWAW,23.25633,2,0
2019-01-01,Terbinafine HCl_Spy 1% 15ml,131002030AAABAB,27.47332,6,0
2019-01-01,Salic Acid/Lactic Acid_Gel 12%/4%,1307000M0AAAVAV,2.76588,46,0
2019-01-01,Hydrocort_Crm 0.1%,1304000V0AAAWAW,21.100070000000002,7,0
2019-01-01,Permethrin_Creme Rinse 1%,1310040Q0AAAAAA,31.21056,4,4
2019-01-01,Imiquimod_Crm 5% Sach 250mg,1307000V0AAAAAA,113.11955,4,0
2019-01-01,Betameth Val_Oint 0.025% (1 in 4),1304000F0AABBBB,17.5916,16,0
2019-01-01,Benzoyl Per/Clindamycin Phos_Gel 3%/1%,1306010Y0AAABAB,122.04541,130,0
2019-01-01,Betameth Diprop_Oint 0.05%,1304000D0AABABA,5.69266,140,0
2019-01-01,Fludroxycortide_Tape 7.5cm x 20cm,1304000T0AACECE,190.35389,3,0
2019-01-01,Betameth Val_Lot 0.1%,1304000F0AABCBC,12.76515,8,0
2019-01-01,Azelaic Acid_Crm 20%,1306010B0AAAAAA,37.54365,3,0
2019-01-01,Capsaicin_Crm 0.075%,1003020AAAAAAAA,189.58990999999997,11,0
2019-01-01,Betameth Val_Crm 0.025% (1 in 4),1304000F0AAABAB,8.7834,58,0
2019-01-01,Tacrolimus_Oint 0.03%,1305030C0AAACAC,165.62492,2,0
2019-01-01,Benzoyl Per/Clindamycin Phos_Gel 3%/1%,1306010Y0AAABAB,60.9793,16,0
2019-01-01,Fludroxycortide_Tape 7.5cm x 20cm,1304000T0AACECE,228.41723,3,0
2019-01-01,Cetomacrogol_Crm (For A) BP 1988,1301010D0AAAAAA,197.20191,354,0
2019-01-01,Olive Oil_Liq,190605000AACACA,2.99277,2,0
2019-01-01,Urea/Lauromacrogols_Crm 5%/3%,1302010U0AAANAN,60.94233,12,0
2019-01-01,Cetomacrogol_Crm (For A) BP 1988,1301010D0AAAAAA,82.13964,162,0
2019-01-01,Betameth Diprop/Clotrimazole_Crm0.064/1%,1304000D0AACACA,106.05662000000001,22,0
2019-01-01,Betameth Diprop/Salic Acid_Oint 0.05/3%,1304000D0AABBBB,28.834580000000003,20,0
2019-01-01,Hydrocort/Urea_Crm 1%/10%,1304000V0AAANAN,6.63937,8,0
2019-01-01,Silver Sulfadiazine_Crm 1%,1310011Y0AAAAAA,9.57848,2,0
2019-01-01,Amorolfine HCl_Nail Lacquer Kit 5% 5ml,1310020A0AAAAAA,85.51359,10,0
2019-01-01,Fludroxycortide_Tape 7.5cm x 20cm,1304000T0AACECE,75.05626000000001,2,0
2019-01-01,Salicylic Acid/Mucopolysac_Gel 2%/0.2%,1003020W0AAAAAA,147.08721,44,0
2019-01-01,Hydrocort But_Oint 0.1%,1304000W0AABABA,1.48504,2,0
2019-01-01,Menthol In Aq_Crm 1%,1303000AAAAABAB,80.07761,10,0
2019-01-01,Calamine Aq_Crm,1303000D0AAABAB,9.37756,105,0
2019-01-01,Alum Chlor_Soln 20%,1312000C0AAASAS,19.55919,1,0
2019-01-01,Betameth Diprop/Clotrimazole_Crm0.064/1%,1304000D0AACACA,76.59714,32,0
2019-01-01,Fluocinolone Aceton_Oint 0.025%,1304000N0AABBBB,11.53999,8,0
2019-01-01,Silver Sulfadiazine_Crm 1%,1310011Y0AAAAAA,16.76242,6,0
2019-01-01,Malathion_Aq Lot 0.5%,1310040M0AAADAD,27.70217,2,2
2019-01-01,Olive Oil_Liq,190605000AACACA,3.1681,2,0
2019-01-01,Adapalene_Crm 0.1%,1306010H0AAABAB,213.64134,12,0
2019-01-01,Sod Fusidate_Oint 2%,1310012Q0AAAAAA,26.91643,6,0
2019-01-01,Pimecrolimus_Crm 1%,1305030B0AAAAAA,164.53906,5,0
2019-01-01,Calamine_Lot,1303000D0AAACAC,5.095599999999999,36,0
2019-01-01,Fluorouracil_Crm 5%,1308010Y0AAAAAA,274.93614,135,0
2019-01-01,Menthol In Aq_Crm 1%,1303000AAAAABAB,61.62908,23,0
2019-01-01,Fludroxycortide_Tape 7.5cm x 20cm,1304000T0AACECE,63.438900000000004,4,0
2019-01-01,Urea/Lactic Acid_Crm 10%/5%,1302010U0AAAEAE,37.382749999999994,4,0
2019-01-01,Adapalene_Crm 0.1%,1306010H0AAABAB,183.09281,8,0
2019-01-01,Betameth Diprop/Salic Acid_Oint 0.05/3%,1304000D0AABBBB,19.930449999999997,4,0
2019-01-01,Betameth Diprop/Salic Acid_Oint 0.05/3%,1304000D0AABBBB,5.92782,304,0
2019-01-01,Calcipotriol/Betameth_Gel 0.005%/0.05%,1305020D0AAAGAG,345.43816000000004,72,0
2019-01-01,Testosterone_Gel 2% (10mg per actuation),0604020K0AABMBM,266.14955,4,0
2019-01-01,Fluticasone Prop_Crm 0.05%,1304000S0AAAAAA,6.33309,5,0
2019-01-01,Hydrocort_Oint 0.5%,1304000V0AABBBB,55.19397,16,0
2019-01-01,Menthol In Aq_Crm 2%,1303000AAAAACAC,110.31667,5,0
2019-01-01,Betameth Diprop/Clotrimazole_Crm0.064/1%,1304000D0AACACA,53.02211,40,0
2019-01-01,Hydrocort_Crm 0.1%,1304000V0AAAWAW,13.755230000000001,3,0
2019-01-01,Azelaic Acid_Gel 15%,1306010B0AAABAB,41.68006,2,0
2019-01-01,Clindamycin Phos_Gel 1%,1306010F0AAADAD,64.30207,2,0
2019-01-01,Lactic Acid/Salic Acid_Paint 16.7/16.7%,1307000M0AAAWAW,4.7862,101,0
2019-01-01,Terbinafine HCl_Soln 1%,131002030AAADAD,26.47701,4,0
2019-01-01,Alum Chlor_Soln 20%,1312000C0AAASAS,2.32965,23,0
2019-01-01,Imiquimod_Crm 5% Sach 250mg,1307000V0AAAAAA,90.45316,6,0
2019-01-01,Betameth Diprop_Crm 0.05%,1304000D0AAAAAA,2.0048,9,0
2019-01-01,Fludroxycortide_Tape 7.5cm x 20cm,1304000T0AACECE,88.82685,6,0
2019-01-01,Mupirocin_Oint 2%,1310011M0AAAAAA,24.42268,5,0
2019-01-01,Clobetasol Prop_Scalp Applic 0.05%,1304000G0AABBBB,38.7224,0,24
2019-01-01,Ibuprofen/Menthol_Gel 5%/3%,1003020P0AAAHAH,13.365400000000001,6,0
2019-01-01,Betameth Diprop/Salic Acid_Oint 0.05/3%,1304000D0AABBBB,37.34265,14,0
2019-01-01,Diflucortolone Val_Oily Crm 0.1%,1304000L0AAABAB,9.20106,15,0
2019-01-01,Adapalene/Benzoyl Per_Gel 0.1%/2.5%,1306010Z0AAAAAA,326.45465,32,0
2019-01-01,Menthol In Aq_Crm 1%,1303000AAAAABAB,9.24747,1,0
2019-01-01,Capsaicin_Crm 0.075%,1003020AAAAAAAA,67.71157,210,0
2019-01-01,Betameth Val/Neomycin Sulf_Oint0.1/0.5%,1304000F0AACECE,58.21342,16,0
2019-01-01,Hydrocort_Oint 0.5%,1304000V0AABBBB,55.18157,17,0
2019-01-01,Betameth Val_Crm 0.025% (1 in 4),1304000F0AAABAB,17.5792,3,0
2019-01-01,Olive Oil_Liq,190605000AACACA,10.06736,2,0
2019-01-01,Menthol In Aq_Crm 2%,1303000AAAAACAC,15.76307,617,0
2019-01-01,Menthol In Aq_Crm 1%,1303000AAAAABAB,26.47701,12,0
2019-01-01,Coal Tar_Shampoo 4%,1309000C0AABCBC,9.67137,0,33
