month,pct,items,total_list_size,measure
2014-11-01,10K,476,201229,2.3654642223536366
2014-11-01,11X,1281,557787,2.296575574547273
2014-11-01,08R,776,217157,3.573451465990044
2014-11-01,02Y,1027,301674,3.4043371321360136
2014-11-01,08M,1663,371060,4.481754972241688
2014-11-01,99H,617,300501,2.0532377596081215
2014-11-01,03E,364,161416,2.2550428705952323
2014-11-01,01Y,1812,242501,7.472134135529335
2014-11-01,04E,855,187599,4.5575935905841725
2014-11-01,07H,708,298282,2.373592774622672
2014-11-01,08P,877,207034,4.236019204575094
2014-11-01,04C,1965,378379,5.1932057540191146
2014-11-01,01E,802,202933,3.9520432852222163
2014-11-01,12D,740,228741,3.235099960217013
2014-11-01,07Y,1044,298647,3.49576590422807
2014-11-01,10V,486,210283,2.3111711360404783
2014-11-01,04G,2093,650586,3.217099660921077
2014-11-01,08T,689,188310,3.6588603897828054
2014-11-01,02N,217,157320,1.3793541825578437
2014-11-01,01X,988,194884,5.069682477781652
2014-11-01,06W,743,226139,3.2855898363395974
2014-11-01,04F,524,278392,1.882237995344694
2014-11-01,99F,319,181810,1.7545789560530216
2014-11-01,08V,941,291733,3.225552131572362
2014-11-01,11A,1005,547391,1.835981958051923
2014-11-01,04H,310,130092,2.3829290040894135
2014-11-01,05F,325,182991,1.7760436305610658
2014-11-01,05R,589,275466,2.138194913346838
2014-11-01,15M,2348,1029747,2.280171731502983
2014-11-01,08H,679,231848,2.9286429039715673
2014-11-01,07R,724,262113,2.762167462125114
2014-11-01,00X,570,177295,3.214980681914324
2014-11-01,99J,1074,474887,2.261590652091971
2014-11-01,05T,1029,297251,3.461720902536913
2014-11-01,01J,1106,161730,6.838558090644903
2014-11-01,03R,1495,360420,4.147938516175572
2014-11-01,06Y,315,217961,1.4452126756621602
2014-11-01,11E,836,200730,4.164798485527822
2014-11-01,09H,279,128952,2.1635957565605817
2014-11-01,02M,714,169294,4.217515092088321
2014-11-01,08W,678,298493,2.2714100498169136
2014-11-01,01G,2503,257137,9.734110610297233
2014-11-01,10D,315,108395,2.9060381013884404
2014-11-01,15N,3762,1194584,3.1492134500378364
2014-11-01,01A,1432,373122,3.8378868037799965
2014-11-01,06Q,855,379331,2.253968170278728
2014-11-01,02P,1869,253912,7.360817921169538
2014-11-01,02E,867,212611,4.077869912657388
2014-11-01,00Y,1490,244723,6.088516404261145
2014-11-01,06M,717,234828,3.0532985844958866
2014-11-01,00K,1335,292997,4.556360645330841
2014-11-01,99M,433,221616,1.9538300483719582
2014-11-01,06A,1693,263725,6.419565835624226
2014-11-01,15E,4730,1256100,3.765623756070378
2014-11-01,01W,1494,303082,4.929359051345841
2014-11-01,08J,655,198773,3.2952161510869185
2014-11-01,04D,887,231118,3.837866371290854
2014-11-01,13T,484,504015,0.9602888802912606
2014-11-01,01C,887,205596,4.314286270160898
2014-11-01,02X,1192,311811,3.8228285724365083
2014-11-01,06P,656,222298,2.9509937111444984
2014-11-01,05Y,1350,274462,4.918713701714624
2014-11-01,11J,1835,782734,2.3443468662406377
2014-11-01,01T,1241,154758,8.01897155559002
2014-11-01,15D,1067,443225,2.407355180777257
2014-11-01,02H,1822,322152,5.655715314509917
2014-11-01,15C,3572,965645,3.6990819607619776
2014-11-01,08C,1346,203605,6.610839615922988
2014-11-01,05J,415,172819,2.4013563323477167
2014-11-01,04L,194,137983,1.4059703006892157
2014-11-01,02F,1002,257961,3.8843080930838374
2014-11-01,03T,1076,244645,4.398209650718388
2014-11-01,09A,972,203113,4.785513482642668
2014-11-01,07P,1610,360465,4.46645305369453
2014-11-01,08N,599,296581,2.0196843358138263
2014-11-01,04Y,453,133482,3.3937160066525824
2014-11-01,99D,398,161508,2.4642742155187354
2014-11-01,03L,1057,258852,4.083414460772952
2014-11-01,05L,2619,534445,4.900410706433774
2014-11-01,03F,1540,289262,5.323893217913173
2014-11-01,06K,1230,582125,2.1129482499463172
2014-11-01,15A,1119,518170,2.1595229364880253
2014-11-01,06N,1485,623408,2.382067602597335
2014-11-01,05D,384,137193,2.798976624171787
2014-11-01,99E,567,270212,2.09835240477847
2014-11-01,03V,289,73088,3.9541374781085814
2014-11-01,07V,1176,393435,2.9890579129970614
2014-11-01,00T,2076,299393,6.934029853737398
2014-11-01,10A,516,202064,2.5536463694670988
2014-11-01,99K,477,167379,2.8498198698761494
2014-11-01,08X,1837,373133,4.923177526511995
2014-11-01,09X,311,231092,1.345784362937704
2014-11-01,00P,2087,283859,7.352241782011493
2014-11-01,09J,744,256269,2.903199372534329
2014-11-01,01H,543,323546,1.6782775864946566
2014-11-01,09E,501,217483,2.3036283295705866
2014-11-01,01D,1433,225267,6.3613400986385065
2014-11-01,09L,389,177522,2.1912777007920146
2014-11-01,02D,504,102814,4.902056140214368
2014-11-01,01F,636,129491,4.911538253623804
2014-11-01,12F,1156,333015,3.47131510592616
2014-11-01,06L,889,396569,2.241728425570329
2014-11-01,10R,1101,218552,5.037702697756144
2014-11-01,07W,1900,416658,4.560094849972877
2014-11-01,14L,4620,590421,7.8249249264507865
2014-11-01,02W,313,138632,2.2577759824571526
2014-11-01,05N,838,302426,2.7709257801908582
2014-11-01,00L,380,322048,1.1799483306836251
2014-11-01,99N,1288,482605,2.6688492659628476
2014-11-01,07G,416,167836,2.4786100717366963
2014-11-01,00J,1253,249876,5.014487185644079
2014-11-01,00N,242,155130,1.5599819506220591
2014-11-01,04M,147,104972,1.4003734329154442
2014-11-01,03N,2905,588053,4.940030915580739
2014-11-01,07L,785,205619,3.8177405784484897
2014-11-01,08A,1037,280551,3.696297642852813
2014-11-01,06F,1048,455275,2.301905441765964
2014-11-01,00R,1075,171611,6.264167215388292
2014-11-01,99A,4006,501448,7.988864249134508
2014-11-01,09F,437,189919,2.3009809445079217
2014-11-01,99C,601,216235,2.7793835410548717
2014-11-01,05G,698,215266,3.2424999767729226
2014-11-01,08G,916,298299,3.0707444543897213
2014-11-01,02T,1018,216918,4.693017638001459
2014-11-01,03K,479,170587,2.8079513679236983
2014-11-01,09N,579,221059,2.6192102560854797
2014-11-01,05C,1318,314413,4.191938628491826
2014-11-01,00C,450,106624,4.220438175270109
2014-11-01,07X,730,318937,2.288853284504463
2014-11-01,05H,655,185280,3.5351899827288427
2014-11-01,02G,602,111978,5.376056011002161
2014-11-01,08K,2016,375201,5.373120007675885
2014-11-01,09Y,753,361007,2.0858321306789054
2014-11-01,10L,679,141790,4.7887721277946245
2014-11-01,10Q,742,708823,1.0468057610997392
2014-11-01,07M,739,395595,1.8680721444912098
2014-11-01,03A,989,242700,4.07498969921714
2014-11-01,03Q,651,348853,1.86611552717047
2014-11-01,07N,551,231383,2.381333114360173
2014-11-01,06H,2316,903454,2.5634952083891385
2014-11-01,09G,1366,498698,2.73913270155485
2014-11-01,05V,518,145853,3.551521052018128
2014-11-01,06T,1259,333328,3.7770604329669273
2014-11-01,10J,487,219284,2.2208642673428067
2014-11-01,08F,712,264673,2.6901119494621666
2014-11-01,08D,997,295151,3.37793197380324
2014-11-01,05A,1881,482085,3.9018015495192753
2014-11-01,03W,777,319879,2.4290434820666564
2014-11-01,07J,519,169826,3.056069153133208
2014-11-01,02R,426,320635,1.328613532521403
2014-11-01,07T,739,291194,2.5378270156665312
2014-11-01,04Q,379,131367,2.8850472340846642
2014-11-01,04N,178,123028,1.4468251129824106
2014-11-01,05X,561,177027,3.1690081174058196
2014-11-01,04K,770,361530,2.129837081293392
2014-11-01,11N,1881,563195,3.3398734008647093
2014-11-01,14Y,679,536004,1.2667815911821558
2014-11-01,08L,883,307423,2.8722639490213817
2014-11-01,08Y,985,239647,4.1102121036357655
2014-11-01,10X,836,270029,3.095963766854672
2014-11-01,09P,737,184783,3.9884621420801696
2014-11-01,07K,711,242675,2.9298444421551464
2014-11-01,00D,1864,288788,6.454561823898501
2014-11-01,02Q,329,113443,2.90013486949393
2014-11-01,03D,320,142668,2.2429696918720388
2014-11-01,01K,414,345078,1.1997287569766837
2014-11-01,08E,753,253965,2.9649754887484505
2014-11-01,00M,1424,291392,4.886887766307929
2014-11-01,04V,999,373069,2.6777888272678774
2014-11-01,00Q,424,169912,2.495409388389284
2014-11-01,03M,411,118520,3.4677691528855887
2014-11-01,08Q,1648,305868,5.387945126655944
2014-11-01,11M,757,631230,1.199245916702311
2014-11-01,99G,466,184948,2.519627138438913
2014-11-01,07Q,674,337061,1.9996380477124318
2014-11-01,05Q,707,214061,3.302796866313807
2014-11-01,06D,369,113127,3.261820785488876
2014-11-01,05W,1507,283289,5.319655899099509
2014-11-01,10E,523,143655,3.64066687550033
2014-11-01,09C,164,127003,1.2913080793367087
2014-11-01,01V,770,122927,6.2638801890552935
2014-11-01,15F,4359,844330,5.162673362310945
2014-11-01,03J,1228,188069,6.529518421430431
2014-11-01,03H,640,168655,3.7947288844090004
2014-11-01,02A,1347,238008,5.659473631138451
2014-11-01,00V,787,197888,3.976997089262615
2014-11-01,10C,156,93601,1.6666488605890963
2014-11-01,01R,579,178161,3.2498695000589355
2014-11-01,09W,841,293846,2.8620433832687873
2014-11-01,09D,1466,307825,4.762446195078374
2014-11-01,06V,260,169841,1.5308435536766745
2014-12-01,99C,642,216235,2.968992068814023
2014-12-01,06F,1093,455275,2.4007468013837787
2014-12-01,06Q,927,379331,2.443776016196936
2014-12-01,00L,370,322048,1.1488970588235297
2014-12-01,00D,2117,288788,7.330637007077857
2014-12-01,15M,2584,1029747,2.509354239439398
2014-12-01,05N,922,302426,3.0486796770118976
2014-12-01,03M,484,118520,4.083698953763078
2014-12-01,04H,398,130092,3.0593733665406018
2014-12-01,07M,852,395595,2.1537178174648317
2014-12-01,11J,2036,782734,2.601139084286613
2014-12-01,02H,1957,322152,6.074772157242541
2014-12-01,10X,924,270029,3.4218546896814788
2014-12-01,11X,1433,557787,2.569081029138363
2014-12-01,03W,912,319879,2.8510780638929107
2014-12-01,09E,551,217483,2.5335313564738393
2014-12-01,01H,601,323546,1.8575411224369958
2014-12-01,06K,1321,582125,2.2692720635602313
2014-12-01,09Y,862,361007,2.387765334190194
2014-12-01,08G,1000,298299,3.3523411074123617
2014-12-01,10D,287,108395,2.647723603487245
2014-12-01,02N,214,157320,1.3602847698957536
2014-12-01,04N,182,123028,1.4793380368696558
2014-12-01,03J,1397,188069,7.428124783988854
2014-12-01,99H,687,300501,2.286182075933192
2014-12-01,02D,626,102814,6.08866496780594
2014-12-01,07H,778,298282,2.6082700263509038
2014-12-01,09X,355,231092,1.536184722967476
2014-12-01,08K,2107,375201,5.615656674689031
2014-12-01,07L,907,205619,4.411070961341121
2014-12-01,11N,2159,563195,3.8334857376219578
2014-12-01,01W,1659,303082,5.47376617549046
2014-12-01,15A,1250,518170,2.4123357199374724
2014-12-01,08X,2088,373133,5.59585992126132
2014-12-01,02E,921,212611,4.331854889916325
2014-12-01,10J,590,219284,2.690574779737692
2014-12-01,05X,639,177027,3.6096188716975375
2014-12-01,00X,639,177295,3.6041625539355313
2014-12-01,05Y,1495,274462,5.447019988195088
2014-12-01,07K,763,242675,3.144122797980839
2014-12-01,01C,883,205596,4.294830638728381
2014-12-01,03Q,725,348853,2.0782392583695715
2014-12-01,07P,1794,360465,4.976904831259623
2014-12-01,08W,721,298493,2.415467029377573
2014-12-01,11A,1077,547391,1.9675149938526582
2014-12-01,10C,188,93601,2.008525549940706
2014-12-01,08D,1067,295151,3.6150987121846105
2014-12-01,05G,752,215266,3.4933524105060716
2014-12-01,05R,647,275466,2.3487472138122314
2014-12-01,06L,964,396569,2.4308506212033723
2014-12-01,01D,1553,225267,6.8940412932209325
2014-12-01,99K,473,167379,2.8259220093321153
2014-12-01,00M,1643,291392,5.638452668570176
2014-12-01,99E,633,270212,2.342605065652155
2014-12-01,01G,2888,257137,11.231366936691336
2014-12-01,07W,1997,416658,4.7928996923136
2014-12-01,05A,2095,482085,4.345706669985583
2014-12-01,08F,703,264673,2.6561077253818866
2014-12-01,02R,348,320635,1.0853462660033995
2014-12-01,09D,1548,307825,5.028831316494765
2014-12-01,00V,907,197888,4.583400711513585
2014-12-01,07V,1207,393435,3.067851106281849
2014-12-01,05J,478,172819,2.7658995828005026
2014-12-01,05C,1583,314413,5.034779096284188
2014-12-01,00N,269,155130,1.7340295236253462
2014-12-01,00Q,503,169912,2.9603559489618156
2014-12-01,99N,1240,482605,2.569389044871065
2014-12-01,05W,1668,283289,5.887980119242189
2014-12-01,06N,1644,623408,2.6371172650976553
2014-12-01,09J,741,256269,2.8914929234515294
2014-12-01,99J,1096,474887,2.307917462470019
2014-12-01,06H,2553,903454,2.8258217905947616
2014-12-01,01T,1337,154758,8.639294899132844
2014-12-01,01J,1340,161730,8.285413961540842
2014-12-01,07X,891,318937,2.7936551732787347
2014-12-01,10E,571,143655,3.974800737878946
2014-12-01,03K,528,170587,3.0951948272728873
2014-12-01,15C,3945,965645,4.085352277493281
2014-12-01,03D,331,142668,2.3200717750301396
2014-12-01,09W,881,293846,2.998169108989062
2014-12-01,00Y,1588,244723,6.488969161051476
2014-12-01,06T,1435,333328,4.305068881102098
2014-12-01,10L,694,141790,4.894562380985965
2014-12-01,14Y,822,536004,1.5335706449951862
2014-12-01,06Y,348,217961,1.5966159083505767
2014-12-01,04V,1153,373069,3.090581098938801
2014-12-01,04M,177,104972,1.6861639294288
2014-12-01,01A,1282,373122,3.435873521261142
2014-12-01,09N,653,221059,2.9539625167941597
2014-12-01,04E,948,187599,5.053331840788064
2014-12-01,15D,1151,443225,2.5968751762648763
2014-12-01,03N,3393,588053,5.769888088318574
2014-12-01,04G,2356,650586,3.6213505977687803
2014-12-01,00K,1479,292997,5.047833254265403
2014-12-01,04Y,493,133482,3.693381879204686
2014-12-01,99M,500,221616,2.25615479026785
2014-12-01,06V,293,169841,1.7251429277971755
2014-12-01,10A,576,202064,2.8505819938237384
2014-12-01,01Y,2038,242501,8.404089055302862
2014-12-01,03A,1145,242700,4.717758549649774
2014-12-01,01X,1215,194884,6.234477945854969
2014-12-01,08R,780,217157,3.591871318907518
2014-12-01,08M,1605,371060,4.32544601951167
2014-12-01,07Y,1247,298647,4.175498163383528
2014-12-01,08J,714,198773,3.5920371479023823
2014-12-01,02W,399,138632,2.878123376998095
2014-12-01,00P,2155,283859,7.591797336001326
2014-12-01,04K,824,361530,2.2792022792022792
2014-12-01,01R,659,178161,3.698901555334782
2014-12-01,09P,834,184783,4.513402206912973
2014-12-01,01V,850,122927,6.914672935970127
2014-12-01,99F,400,181810,2.2000990044551996
2014-12-01,00T,2245,299393,7.498505309075367
2014-12-01,04F,573,278392,2.058248800252881
2014-12-01,15E,5372,1256100,4.276729559748428
2014-12-01,07T,806,291194,2.7679141740557833
2014-12-01,02F,1159,257961,4.492927225433302
2014-12-01,10Q,821,708823,1.1582581264998468
2014-12-01,04D,1016,231118,4.396022810858521
2014-12-01,02M,806,169294,4.76094840927617
2014-12-01,13T,459,504015,0.9106871819291087
2014-12-01,00C,513,106624,4.811299519807924
2014-12-01,03V,334,73088,4.569833625218914
2014-12-01,05V,551,145853,3.7777762541737236
2014-12-01,05L,2837,534445,5.308310490321734
2014-12-01,02P,2082,253912,8.1996912316078
2014-12-01,09C,210,127003,1.6535042479311515
2014-12-01,08V,1088,291733,3.7294375336352075
2014-12-01,12F,1368,333015,4.107923066528536
2014-12-01,15N,4184,1194584,3.502474501583814
2014-12-01,00R,1095,171611,6.380709861255981
2014-12-01,09H,268,128952,2.0782926980581924
2014-12-01,06P,667,222298,3.000476837398447
2014-12-01,08T,737,188310,3.9137592268068606
2014-12-01,03R,1681,360420,4.664003107485711
2014-12-01,02T,1136,216918,5.237002000756047
2014-12-01,07N,620,231383,2.6795399834905758
2014-12-01,08N,693,296581,2.336629790849718
2014-12-01,05D,441,137193,3.2144497168222865
2014-12-01,00J,1302,249876,5.210584449887144
2014-12-01,99D,467,161508,2.8914976347920844
2014-12-01,14L,4965,590421,8.409253735893545
2014-12-01,03F,1768,289262,6.112105980045774
2014-12-01,05T,1161,297251,3.905790056215117
2014-12-01,99A,4645,501448,9.263173848534644
2014-12-01,04L,228,137983,1.6523774667893871
2014-12-01,08L,1009,307423,3.2821226778738093
2014-12-01,09A,1120,203113,5.514171914156161
2014-12-01,08E,825,253965,3.24847912113874
2014-12-01,08Q,1560,305868,5.100239318921888
2014-12-01,07R,782,262113,2.9834460709693915
2014-12-01,05F,356,182991,1.9454508691684287
2014-12-01,09G,1555,498698,3.1181195833951625
2014-12-01,03T,1127,244645,4.60667497802939
2014-12-01,02Y,1152,301674,3.818691700312258
2014-12-01,06M,808,234828,3.440816257005127
2014-12-01,02Q,369,113443,3.2527348536269307
2014-12-01,07G,466,167836,2.776519936128127
2014-12-01,01F,697,129491,5.382613463483949
2014-12-01,08Y,1123,239647,4.686059078561386
2014-12-01,05H,719,185280,3.880613126079448
2014-12-01,01K,476,345078,1.3793982809683607
2014-12-01,06A,1865,263725,7.071760356431887
2014-12-01,03E,395,161416,2.447093224959111
2014-12-01,03L,1262,258852,4.8753727999011005
2014-12-01,04Q,441,131367,3.357007467628857
2014-12-01,08C,1385,203605,6.802386974779598
2014-12-01,05Q,777,214061,3.6298064570379482
2014-12-01,06W,833,226139,3.6835751462596025
2014-12-01,09L,464,177522,2.6137605479884183
2014-12-01,15F,4920,844330,5.827105515615929
2014-12-01,02G,699,111978,6.242297594170282
2014-12-01,08H,767,231848,3.3082019253993993
2014-12-01,11E,939,200730,4.677925571663428
2014-12-01,07J,573,169826,3.3740416661759682
2014-12-01,10K,525,201229,2.608967892301805
2014-12-01,01E,959,202933,4.725697644050007
2014-12-01,02X,1363,311811,4.371237704891745
2014-12-01,10R,1110,218552,5.078882828800469
2014-12-01,06D,432,113127,3.818717017157707
2014-12-01,03H,701,168655,4.156413981204233
2014-12-01,12D,918,228741,4.013272653350295
2014-12-01,10V,551,210283,2.6202783867454804
2014-12-01,08P,865,207034,4.1780577103277725
2014-12-01,08A,1201,280551,4.280861590227801
2014-12-01,11M,875,631230,1.386182532515882
2014-12-01,02A,1551,238008,6.516587677725119
2014-12-01,07Q,752,337061,2.2310501659936928
2014-12-01,04C,2232,378379,5.898847451893469
2014-12-01,09F,449,189919,2.364165775936057
2014-12-01,99G,553,184948,2.9900296299500395
2015-01-01,05D,416,137274,3.0304354794061514
2015-01-01,08N,706,298217,2.367403602074999
2015-01-01,00Q,436,170214,2.561481429259638
2015-01-01,08T,714,188595,3.7858904000636278
2015-01-01,06K,1343,583265,2.3025554422089427
2015-01-01,03T,1102,244969,4.498528385224253
2015-01-01,03H,647,168808,3.8327567413866652
2015-01-01,00X,612,177598,3.4459847520805393
2015-01-01,00P,1882,283469,6.639173948474085
2015-01-01,03L,1173,258717,4.533911571330837
2015-01-01,10V,543,210792,2.5759990891494926
2015-01-01,00K,1483,293700,5.049370105549881
2015-01-01,05L,2756,538688,5.116134014494476
2015-01-01,08J,775,199208,3.890406007790853
2015-01-01,99K,517,168002,3.077344317329556
2015-01-01,03M,421,118653,3.5481614455597414
2015-01-01,04H,365,130260,2.802088131429448
2015-01-01,05A,1994,483370,4.1252042948466
2015-01-01,00M,1475,291290,5.063682241065606
2015-01-01,06H,2445,910295,2.6859424691995453
2015-01-01,10L,711,141890,5.010923955176545
2015-01-01,06L,894,396982,2.2519912741635637
2015-01-01,02W,336,138653,2.423315759485911
2015-01-01,00R,982,171792,5.716214957623172
2015-01-01,02Y,1048,301772,3.472820540010339
2015-01-01,00D,1933,288824,6.692657119906935
2015-01-01,08A,1224,282225,4.3369651873505175
2015-01-01,08Q,1566,309101,5.066305188271795
2015-01-01,99N,1277,483090,2.643399780579188
2015-01-01,13T,348,506100,0.6876111440426792
2015-01-01,05W,1564,283877,5.509428379192397
2015-01-01,04D,946,232276,4.072741049441182
2015-01-01,10K,488,201648,2.420058716178688
2015-01-01,03E,374,161360,2.317798710956867
2015-01-01,15F,4609,847247,5.439972050653473
2015-01-01,05X,602,177573,3.3901550348307454
2015-01-01,11M,816,632494,1.2901308154701867
2015-01-01,08V,1060,294516,3.59912534463323
2015-01-01,01F,690,129597,5.324197319382393
2015-01-01,01Y,1968,242821,8.104735587119734
2015-01-01,05F,353,183099,1.9279187761811916
2015-01-01,08M,1615,373089,4.328725853616699
2015-01-01,07K,750,243117,3.0849344142943522
2015-01-01,15N,3934,1176355,3.344228570457045
2015-01-01,07R,717,264660,2.709136250283382
2015-01-01,06T,1378,336775,4.091752653849008
2015-01-01,10R,1187,218680,5.4280226815438075
2015-01-01,09L,436,177750,2.452883263009845
2015-01-01,09N,599,221960,2.698684447648225
2015-01-01,04N,185,123444,1.4986552606850072
2015-01-01,15C,3879,969942,3.9992082000779434
2015-01-01,07M,864,398258,2.1694479458039746
2015-01-01,00C,442,106673,4.1435039794512205
2015-01-01,03V,316,73382,4.3062331361914366
2015-01-01,99D,454,161782,2.8062454413964475
2015-01-01,05Q,783,214043,3.6581434571558047
2015-01-01,04Q,366,131433,2.7846887767912176
2015-01-01,10Q,825,711886,1.1588934183282151
2015-01-01,15E,5275,1261528,4.181437114356561
2015-01-01,14L,4764,593072,8.032751504033238
2015-01-01,99H,638,300742,2.121419688636771
2015-01-01,02F,1036,258724,4.0042670954376085
2015-01-01,02A,1484,237855,6.239095247104328
2015-01-01,99A,4333,504757,8.584328696778847
2015-01-01,01D,1479,225718,6.552423820873832
2015-01-01,04C,2046,383910,5.329374072048136
2015-01-01,99J,1138,475695,2.3922891768885512
2015-01-01,07N,591,231976,2.5476773459323376
