year,chemical,total_items,total_tabs_caps
2019,Furosemide/Potassium,1,28
2019,Kaolin Light,1,24
2018,Cariprazine,1,28
2017,Sibutramine,1,56
2018,Zaleplon,1,28
2017,Metformin Hydrochloride/Rosiglitazone,1,14
2019,Rosiglitazone,1,28
2018,Midazolam Maleate,1,40
2019,Potassium Iodate,1,4
2017,Chlorpropamide,1,140
2018,Other Male Sex Hormone&Antagonist Preps,1,300
2017,Nicotinic Acid/Laropiprant,1,28
2018,Ziprasidone Hydrochloride,1,56
2019,Netupitant/Palonosetron Hcl,1,3
2016,Hyoscine Butylbromide,1,448
2017,Netupitant/Palonosetron Hcl,1,4
2017,Opium & Morphine,1,24
2018,Paracetamol & Phenylephrine HCl,1,12
2017,Flurazepam Hydrochloride,1,30
2019,Sodium Picosulfate,1,50
2018,Maprotiline Hydrochloride,1,150
2019,Maprotiline Hydrochloride,1,150
2017,Betamethasone,1,60
2017,Diosmin/Hesperidin,1,200
2017,Racecadotril,1,20
2017,Paracetamol & Phenylephrine HCl,1,10
2019,Guanfacine Hydrochloride,1,30
2018,Phenolphthalein & Rhubarb,1,100
2017,Kaolin Light,2,136
2019,Pindolol With Diuretic,2,49
2019,Lofexidine Hydrochloride,2,173
2017,Zaleplon,2,84
2017,Dienogest,2,224
2018,Etamsylate,2,112
2018,Rosiglitazone,2,112
2019,Phenprocoumon,2,400
2019,Betamethasone,2,114
2017,Dextromoramide Tartrate,2,120
2018,Bromazepam,2,80
2018,Potassium Iodate,2,48
2019,Aluminium & Magnesium & Act Simeticone,2,108
2018,Digitoxin,2,28
2018,Melperone Hydrochloride,2,505
2018,Pindolol With Diuretic,2,142
2017,Phenolphthalein & Rhubarb,2,84
2019,Amoxapine,3,396
2019,Riociguat,3,252
2018,Aluminium & Magnesium & Act Simeticone,3,756
2017,Pindolol With Diuretic,3,146
2018,Flurazepam Hydrochloride,3,86
2019,Alprazolam,3,240
2019,Nicotinic Acid,3,540
2019,Other Pancreatin Preps,3,600
2017,Phenprocoumon,3,450
2019,Macitentan,3,88
2017,Guanfacine Hydrochloride,3,163
2018,Riociguat,4,170
2017,Bromazepam,4,160
2019,Melperone Hydrochloride,4,478
2018,Betamethasone,4,261
2017,Alprazolam,4,190
2017,Etidronate Disodium,4,229
2017,Rosiglitazone,4,196
2018,Chenodeoxycholic Acid,4,400
2019,Etidronate Disodium,4,240
2017,Amoxapine,4,624
2018,Spironolactone With Thiazides,5,268
2017,Other Pancreatin Preps,5,1000
2019,Perindopril Erbumine with Diuretic,5,284
2018,Phenprocoumon,5,225
2019,Bisoprolol Fumarate/Aspirin,5,77
2017,Ketanserin,5,420
2017,Aluminium & Magnesium & Act Simeticone,5,240
2019,Chenodeoxycholic Acid,6,492
2018,Metformin Hydrochloride/Rosiglitazone,6,84
2018,Kaolin Light,6,410
2018,Other Pancreatin Preps,6,1200
2018,Amoxapine,6,941
2018,Retigabine,6,399
2017,Potassium Iodate,6,200
2019,Ambrisentan,6,161
2017,Sodium Picosulfate,6,554
2018,Etidronate Disodium,7,66
2018,Sodium Picosulfate,7,466
2017,Etamsylate,7,568
2019,Pergolide Mesilate,7,604
2018,Alprazolam,7,353
2019,Policosanol,7,808
2019,Tadalafil (Vasodilator Antihypertensive),7,116
2019,Etamsylate,7,684
2019,Ticlopidine Hydrochloride,8,448
2017,Riociguat,9,610
2018,Omega-3 Marine Triglycerides,9,836
2017,Digitoxin,10,133
2017,Etilefrine Hydrochloride,10,814
2019,Perindopril Tosilate/Indapamide,10,420
2019,Dydrogesterone,10,586
2018,Macitentan,10,269
2017,Policosanol,10,1152
2019,Fenofibrate/Simvastatin,10,398
2019,Tripotassium Dicitratobismuthate,11,960
2018,Etilefrine Hydrochloride,11,1162
2018,Guanfacine Hydrochloride,11,753
2018,Policosanol,11,1280
2019,Etilefrine Hydrochloride,12,720
2019,"Estradiol, Estriol and Estrone",12,644
2017,Acetyl-L-Carnitine,12,3304
2018,Colestipol Hydrochloride,13,1980
2019,Colestipol Hydrochloride,13,2915
2019,Empagliflozin/Linagliptin,13,462
2017,Omega-3 Marine Triglycerides,13,1900
2018,Nicotinic Acid,13,1671
2017,Melperone Hydrochloride,13,2340
2018,Perindopril Erbumine with Diuretic,13,688
2018,Acetyl-L-Carnitine,13,3320
2017,Macitentan,13,275
2017,Colestipol Hydrochloride,14,2002
2017,Spironolactone With Thiazides,14,392
2018,Perindopril Tosilate,15,698
2018,Ticlopidine Hydrochloride,15,968
2019,Co-Danthramer (Dantron/Poloxamer 188),15,411
2018,Ambrisentan,16,219
2017,Chenodeoxycholic Acid,16,1732
2019,Nicotinic Acid Derivatives,16,2293
2018,Biperiden Hydrochloride,16,289
2019,Acetyl-L-Carnitine,16,2798
2017,Nicotinic Acid,17,1398
2017,Ambrisentan,18,353
2018,Oxitriptan,20,3168
2017,Eluxadoline,20,1204
2019,Aspirin & Caffeine,20,1507
2019,Triamterene,20,1010
2017,Ticlopidine Hydrochloride,21,1240
2019,Cariprazine,22,646
2019,Co-Triamterzide(Triamterene/Hydchloroth),23,1023
2019,Other Preparations For Biliary Disorders,23,2106
2018,Tripotassium Dicitratobismuthate,23,1792
2017,Tadalafil (Vasodilator Antihypertensive),23,500
2019,Biperiden Hydrochloride,24,145
2017,Naltrexone/Bupropion,24,3024
2018,Bosentan,24,1596
2019,Felbamate,24,4048
2019,Naltrexone/Bupropion,25,3288
2017,Oxandrolone,25,1892
2017,Oxitriptan,26,5460
2019,Oxandrolone,26,1440
2017,Perindopril Erbumine with Diuretic,27,1384
2018,Tadalafil (Vasodilator Antihypertensive),28,896
2019,Oxprenolol Hydrochloride,29,1897
2019,Isradipine,29,2016
2017,Dydrogesterone,30,3180
2017,Caffeine,31,4414
2018,Oxandrolone,32,2279
2018,Other Preparations For Biliary Disorders,32,3456
2019,Mesterolone,32,2636
2018,Dydrogesterone,35,2128
2018,Bisoprolol Fumarate/Aspirin,35,858
2019,Caffeine,36,4410
2018,Aspirin & Caffeine,39,2083
2019,Bosentan,41,1512
2019,Co-Zidocapt (Hydchloroth/Captopril),42,2350
2017,Bosentan,43,2082
2018,Triamterene,44,2722
2017,Triamterene,44,2882
2018,Fenofibrate/Simvastatin,45,1542
2019,Eluxadoline,46,2850
2019,Indoramin,47,2285
2018,Caffeine,47,6072
2018,Naltrexone/Bupropion,48,6656
2019,Fluphenazine Hydrochloride,49,2313
2019,Quinidine Sulfate,50,7277
2017,Aspirin & Caffeine,50,2660
2019,Cortisone Acetate,51,3832
2018,"Estradiol, Estriol and Estrone",53,3078
2019,Nefazodone Hydrochloride,56,6120
2018,Furosemide/Potassium,56,2191
2019,Aprepitant,56,638
2019,Amiloride Hydrochloride With Thiazides,61,1456
2017,Furosemide/Potassium,64,2940
2019,Oxitriptan,66,13910
2019,Co-Danthrusate (Dantron/Docusate Sod),67,3612
2019,Chlorothiazide,67,7772
2018,Co-Triamterzide(Triamterene/Hydchloroth),68,2863
2016,Bendroflumethiazide,69,1288
2018,Co-Danthramer (Dantron/Poloxamer 188),77,4438
2019,Orphenadrine Hydrochloride,77,4572
2018,Felbamate,81,9164
2019,Tolvaptan,81,782
2019,Other Stimulant Laxative Preps,81,3198
2017,Pitolisant Hydrochloride,83,2303
2017,Cyclopenthiazide,85,2779
2017,Fluphenazine Hydrochloride,86,5009
2017,Other Preparations For Biliary Disorders,87,6885
2019,Ertugliflozin,87,2684
2018,Fluphenazine Hydrochloride,87,4323
2018,Cortisone Acetate,92,7408
2019,Diamorphine Hydrochloride (Systemic),93,4389
2017,Felbamate,93,9342
2019,Pitolisant Hydrochloride,96,4093
2018,Indoramin,100,6194
2019,Prednisone,100,4149
2017,Quinidine Sulfate,103,16394
2019,Paracetamol & Caffeine,103,9252
2019,Timolol With Diuretic,105,4840
2017,Bisoprolol Fumarate/Aspirin,108,2599
2017,Cortisone Acetate,108,8431
2018,Nicotinic Acid Derivatives,113,13356
2018,Nefazodone Hydrochloride,117,11334
2019,Paracetamol & Ibuprofen,118,8682
2018,Quinidine Sulfate,119,19170
2018,Tolvaptan,122,1417
2019,Prasterone,126,8855
2017,Alverine Citrate/Simeticone,126,11928
2017,"Estradiol, Estriol and Estrone",127,7647
2018,Isradipine,132,12880
2019,Thioridazine,133,9836
2018,Chlorothiazide,137,13664
2017,Nefazodone Hydrochloride,143,14539
2018,Amiloride Hydrochloride With Thiazides,144,6370
2017,Chlorothiazide,144,13556
2017,Co-Triamterzide(Triamterene/Hydchloroth),149,5089
2018,Pitolisant Hydrochloride,150,5962
2018,Aprepitant,152,1221
