chemical,seven_day_QI,all_QI,percent_7_day_QI
Biperiden Hydrochloride,154,427,0.36065573770491804
Ambrisentan,119,733,0.16234652114597545
Donepezil Hydrochloride,15929403,102690416,0.15512063949570523
Galantamine,1208543,9561130,0.1264016910135099
Memantine Hydrochloride,6532484,63451228,0.10295283804436378
Bisoprolol Fumarate/Aspirin,357,3534,0.10101867572156197
Lurasidone,68754,720189,0.09546660668241254
Olanzapine,12909890,139944851,0.0922498391884386
Aripiprazole,5339894,62281725,0.08573773446384152
Zopiclone,22298808,260342734,0.08565173937214626
Vortioxetine,334054,3911755,0.08539747504636666
Digoxin,16226847,194351379,0.08349231728373792
Naloxegol,74410,907884,0.0819598098435483
Mirtazapine,41715968,519759793,0.08026009045297584
Linagliptin,9095926,117712875,0.07727214206602294
Naltrexone Hydrochloride,71050,1015509,0.0699649141465019
Clopidogrel,44378740,659047091,0.06733773747891408
Amiodarone Hydrochloride,2249947,34765519,0.0647177739529791
Rivaroxaban,16459534,256041908,0.06428453110886832
Disulfiram,129136,2020483,0.06391343060050493
Zolpidem Tartrate,2403037,37723810,0.06370080328577628
Paliperidone,7805,124611,0.06263491987063742
Saxagliptin,1170778,19536051,0.05992910235543509
Spironolactone,10158456,173344443,0.05860272082676455
Perampanel,165662,2943779,0.056275284251976795
Rasagiline Mesilate,789719,14076833,0.05610061581323015
Opicapone,29785,554862,0.05368001412963944
Pitolisant Hydrochloride,616,11670,0.05278491859468723
Edoxaban,1081318,20515208,0.052708117802169004
Eplerenone,2439647,46572127,0.05238427267880636
Temazepam,3278443,63522169,0.05161100528541461
Sitagliptin,9977989,193369729,0.051600573945056315
Furosemide,47338907,931877014,0.050799522135224595
Nalmefene,4207,84935,0.04953199505504209
Finasteride,12581730,262376125,0.0479530292628569
Safinamide,16814,351997,0.047767452563516166
Aspirin,84470736,1829009799,0.04618386191598529
Dutasteride,1041873,23384317,0.04455434811288266
Bisoprolol Fumarate,79801540,1805964445,0.04418776915621946
Digitoxin,7,161,0.043478260869565216
Risperidone,5777667,133514705,0.04327363791126977
Duloxetine Hydrochloride,7399602,175536595,0.042154184430887476
Pioglitazone Hydrochloride,2631139,65216126,0.04034491407845967
Prasugrel,204687,5167483,0.039610580237999814
Glimepiride,2249359,57572328,0.03907014147491135
Co-Amilofruse (Amiloride HCl/Frusemide),1277017,32822190,0.03890712350394657
Tolvaptan,154,3978,0.038712921065862244
Lithium Carbonate,3114391,80722901,0.03858125713296652
Perindopril Tosilate,609,15823,0.03848827655943879
Prucalopride,281771,7391577,0.03812055262361469
