year,chemical,total_items,total_tabs_caps
2019,Rosiglitazone,1,28
2017,Metformin Hydrochloride/Rosiglitazone,1,14
2018,Zaleplon,1,28
2019,Potassium Iodate,1,4
2017,Sibutramine,1,56
2018,Midazolam Maleate,1,40
2018,Cariprazine,1,28
2017,Chlorpropamide,1,140
2017,Nicotinic Acid/Laropiprant,1,28
2018,Ziprasidone Hydrochloride,1,56
2019,Netupitant/Palonosetron Hcl,1,3
2018,Other Male Sex Hormone&Antagonist Preps,1,300
2016,Hyoscine Butylbromide,1,448
2017,Flurazepam Hydrochloride,1,30
2019,Guanfacine Hydrochloride,1,30
2018,Paracetamol & Phenylephrine HCl,1,12
2017,Netupitant/Palonosetron Hcl,1,4
2017,Opium & Morphine,1,24
2018,Phenolphthalein & Rhubarb,1,100
2018,Maprotiline Hydrochloride,1,150
2019,Sodium Picosulfate,1,50
2019,Aluminium & Magnesium & Act Simeticone,1,72
2019,Maprotiline Hydrochloride,1,150
2017,Racecadotril,1,20
2017,Paracetamol & Phenylephrine HCl,1,10
2017,Betamethasone,1,60
2017,Diosmin/Hesperidin,1,200
2019,Melperone Hydrochloride,2,226
2017,Kaolin Light,2,136
2019,Amoxapine,2,228
2017,Zaleplon,2,84
2019,Pindolol With Diuretic,2,49
2019,Lofexidine Hydrochloride,2,173
2017,Dienogest,2,224
2019,Betamethasone,2,114
2019,Phenprocoumon,2,400
2018,Etamsylate,2,112
2018,Rosiglitazone,2,112
2017,Dextromoramide Tartrate,2,120
2018,Melperone Hydrochloride,2,505
2018,Potassium Iodate,2,48
2018,Pindolol With Diuretic,2,142
2018,Bromazepam,2,80
2018,Digitoxin,2,28
2017,Phenolphthalein & Rhubarb,2,84
2019,Riociguat,3,252
2018,Aluminium & Magnesium & Act Simeticone,3,756
2017,Pindolol With Diuretic,3,146
2019,Other Pancreatin Preps,3,600
2018,Flurazepam Hydrochloride,3,86
2019,Nicotinic Acid,3,540
2019,Alprazolam,3,240
2017,Phenprocoumon,3,450
2019,Macitentan,3,88
2017,Guanfacine Hydrochloride,3,163
2018,Riociguat,4,170
2018,Betamethasone,4,261
2017,Alprazolam,4,190
2017,Etidronate Disodium,4,229
2017,Bromazepam,4,160
2018,Chenodeoxycholic Acid,4,400
2019,Etidronate Disodium,4,240
2017,Rosiglitazone,4,196
2019,Empagliflozin/Linagliptin,4,224
2017,Amoxapine,4,624
2019,Chenodeoxycholic Acid,5,392
2019,Perindopril Erbumine with Diuretic,5,284
2017,Other Pancreatin Preps,5,1000
2018,Spironolactone With Thiazides,5,268
2018,Phenprocoumon,5,225
2019,Bisoprolol Fumarate/Aspirin,5,77
2017,Ketanserin,5,420
2017,Aluminium & Magnesium & Act Simeticone,5,240
2019,Etamsylate,5,644
2018,Kaolin Light,6,410
2018,Metformin Hydrochloride/Rosiglitazone,6,84
2018,Amoxapine,6,941
2017,Potassium Iodate,6,200
2019,Ambrisentan,6,161
2018,Other Pancreatin Preps,6,1200
2018,Retigabine,6,399
2019,Policosanol,6,688
2019,Tadalafil (Vasodilator Antihypertensive),6,108
2017,Sodium Picosulfate,6,554
2018,Sodium Picosulfate,7,466
2018,Etidronate Disodium,7,66
2019,Ticlopidine Hydrochloride,7,392
2017,Etamsylate,7,568
2019,Pergolide Mesilate,7,604
2018,Alprazolam,7,353
2019,Perindopril Tosilate/Indapamide,8,360
2019,Tripotassium Dicitratobismuthate,9,736
2017,Riociguat,9,610
2019,Etilefrine Hydrochloride,9,440
2019,"Estradiol, Estriol and Estrone",9,448
2018,Omega-3 Marine Triglycerides,9,836
2019,Fenofibrate/Simvastatin,9,370
2017,Etilefrine Hydrochloride,10,814
2017,Digitoxin,10,133
2019,Dydrogesterone,10,586
2018,Macitentan,10,269
2017,Policosanol,10,1152
2018,Etilefrine Hydrochloride,11,1162
2018,Guanfacine Hydrochloride,11,753
2018,Policosanol,11,1280
2019,Colestipol Hydrochloride,12,2912
2017,Acetyl-L-Carnitine,12,3304
2018,Colestipol Hydrochloride,13,1980
2017,Omega-3 Marine Triglycerides,13,1900
2018,Perindopril Erbumine with Diuretic,13,688
2017,Macitentan,13,275
2018,Nicotinic Acid,13,1671
2018,Acetyl-L-Carnitine,13,3320
2017,Melperone Hydrochloride,13,2340
2017,Colestipol Hydrochloride,14,2002
2017,Spironolactone With Thiazides,14,392
2019,Aspirin & Caffeine,14,997
2019,Acetyl-L-Carnitine,14,2498
2018,Perindopril Tosilate,15,698
2019,Triamterene,15,840
2018,Ticlopidine Hydrochloride,15,968
2019,Co-Danthramer (Dantron/Poloxamer 188),15,411
2018,Ambrisentan,16,219
2018,Biperiden Hydrochloride,16,289
2017,Chenodeoxycholic Acid,16,1732
2019,Nicotinic Acid Derivatives,16,2293
2017,Nicotinic Acid,17,1398
2019,Co-Triamterzide(Triamterene/Hydchloroth),18,767
2019,Cariprazine,18,520
2017,Ambrisentan,18,353
2019,Naltrexone/Bupropion,19,2616
2019,Felbamate,19,3404
2018,Oxitriptan,20,3168
2017,Eluxadoline,20,1204
2019,Other Preparations For Biliary Disorders,21,1856
2019,Oxandrolone,21,978
