year,chemical,total_items,total_tabs_caps
2018,Zaleplon,1,28
2019,Rosiglitazone,1,28
2018,Cariprazine,1,28
2017,Sibutramine,1,56
2017,Chlorpropamide,1,140
2017,Metformin Hydrochloride/Rosiglitazone,1,14
2019,Potassium Iodate,1,4
2017,Betamethasone,1,60
2017,Flurazepam Hydrochloride,1,30
2019,Aluminium & Magnesium & Act Simeticone,1,72
2018,Midazolam Maleate,1,40
2017,Netupitant/Palonosetron Hcl,1,4
2019,Guanfacine Hydrochloride,1,30
2017,Racecadotril,1,20
2017,Opium & Morphine,1,24
2019,Sodium Picosulfate,1,50
2017,Nicotinic Acid/Laropiprant,1,28
2018,Ziprasidone Hydrochloride,1,56
2019,Netupitant/Palonosetron Hcl,1,3
2018,Other Male Sex Hormone&Antagonist Preps,1,300
