month,supplier,bnf_name,bnf_code,total_items,total_cost
2016-01-01,EMIS,Levobupivac HCl_Inj 2.5mg/ml 10ml Amp   ,1502010V0AAAAAA,11,143.86999999999995
2016-01-01,EMIS,Ertapenem Sod_I/V Inf 1g Vl (Dry)       ,0501022B0AAAAAA,11,2455.63
2016-01-01,EMIS,Methotrexate_Inj 25mg/ml 2ml Vl         ,0801030P0AAANAN,5,155.56
2016-01-01,INPS,Clarithromycin_I/V Inf 500mg Vl         ,0501050B0AAACAC,1,122.2
2016-01-01,INPS,Noxafil_Oral Susp 40mg/ml               ,0502010A0BBAAAA,1,453.68
2016-01-01,INPS,Piperacillin/Tazobactam_Inj 4g/0.5g Vl  ,0501014S0AAABAB,2,556.48
2016-01-01,INPS,Colistimeth Sod_Inj 1 000 000u Vl       ,0501070I0AAABAB,16,1687.47
2016-01-01,INPS,Ketamine_Inj 50mg/ml 10ml Vl            ,1501010F0AAABAB,3,243.03
2016-01-01,TPP,Ertapenem Sod_I/V Inf 1g Vl (Dry)       ,0501022B0AAAAAA,9,1841.72
2016-01-01,TPP,Ceftazidime Pentahyd_Inj 1g Vl          ,0501021H0AAABAB,1,145.94
2016-01-01,EMIS,Meropenem_Inj 1g Vl (Dry)               ,0501022A0AAABAB,5,1004.7499999999999
2016-01-01,EMIS,Viridal Duo_S/Pack Inj 40mcg Cart       ,0704050B0BCAIBN,1,110.23
2016-01-01,Microtest,Ceftazidime Pentahyd_Inj 1g Vl          ,0501021H0AAABAB,1,81.2
2016-01-01,INPS,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,1,136.75
2016-01-01,EMIS,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,3,463.86
2016-01-01,TPP,Ceftriaxone Sod_Inj 2g Vl               ,0501021G0AAADAD,21,2639.7599999999998
2016-01-01,INPS,Methotrexate_Inj 25mg/ml 2ml Vl         ,0801030P0AAANAN,1,20.75
2016-01-01,INPS,Pantoprazole_Inj 40mg Vl                ,0103050R0AAACAC,2,528.42
2016-01-01,TPP,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,12,147.26000000000002
2016-01-01,TPP,Cefotaxime Sod_Inj 1g Vl                ,0501021D0AAABAB,3,58.43000000000001
2016-01-01,TPP,Piperacillin/Tazobactam_Inj 4g/0.5g Vl  ,0501014S0AAABAB,1,306.27
2016-01-01,TPP,Capecitabine_Tab 500mg                  ,0801030V0AAAAAA,1,114.56
2016-01-01,TPP,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,1,160.85
2016-01-01,EMIS,Colistimeth Sod_Inj 1 000 000u Vl       ,0501070I0AAABAB,243,23732.719999999972
2016-01-01,TPP,Methotrexate_Inj 25mg/ml 2ml Vl         ,0801030P0AAANAN,7,158.21
2016-01-01,TPP,Midazolam HCl_Inj 2mg/ml 5ml Amp        ,1501041T0AAABAB,153,1060.320000000001
2016-01-01,TPP,Ceftazidime Pentahyd_Inj 3g Vl          ,0501021H0AAAHAH,1,475.85
2016-01-01,Microtest,Cefuroxime Sod_Inj 750mg Vl             ,0501021J0AAABAB,15,733.54
2016-01-01,EMIS,Tazocin_Inj 4.5g Vl                     ,0501014S0BBABAB,1,294.24
