bnf_name,bnf_code,items
Fostair_Inh 100mcg/6mcg (120D) CFF,0302000C0BQAABX,300182
Clenil Modulite_Inha 100mcg (200D),0302000C0BPABBF,245686
Symbicort_Turbohaler 200mcg/6mcg (120 D),0302000K0BDABAM,90910
Fostair_Inh 200mcg/6mcg (120D) CFF,0302000C0BQABBZ,69693
Clenil Modulite_Inha 50mcg (200D),0302000C0BPAABE,68764
Relvar Ellipta_Inha 92mcg/22mcg (30 D),0302000V0BBABAB,57737
Trelegy Ellipta_Inha 92/55/22mcg (30 D),0302000V0BCAAA0,56907
Clenil Modulite_Inha 200mcg (200D),0302000C0BPACBV,52430
DuoResp Spiromax_Inh 160mcg/4.5mcg(120D),0302000K0BHAAAM,46689
Fostair NEXThaler_Inh 100mcg/6mcg (120D),0302000C0BRAABY,40184
Qvar 100_Inha 100mcg (200 D),0302000C0BJABBF,39308
Symbicort_Turbohaler 400mcg/12mcg (60 D),0302000K0BDACAU,38852
Seretide 500_Accuhaler 500mcg/50mcg(60D),0302000N0BCACAZ,33621
Seretide 125_Evohaler 125mcg/25mcg(120D),0302000N0BCAEBF,32406
Seretide 250_Evohaler 250mcg/25mcg(120D),0302000N0BCAFBG,31925
DuoResp Spiromax_Inh 320mcg/9mcg (60 D),0302000K0BHABAU,30298
Seretide 50_Evohaler 50mcg/25mcg (120 D),0302000N0BCADBE,27209
Qvar 50_Inha 50mcg (200 D),0302000C0BJAABE,22318
Sirdupla_Inh 250mcg/25mcg (120D),0302000N0BFABBG,21465
Symbicort_Turbohaler 100mcg/6mcg (120 D),0302000K0BDAAAL,21279
Seretide 250_Accuhaler 250mcg/50mcg(60D),0302000N0BCABAY,20823
Sirdupla_Inh 125mcg/25mcg (120D),0302000N0BFAABF,20506
Flutiform_Inha 125/5mcg (120 D),0302000N0BDAABJ,19326
Relvar Ellipta_Inha 184mcg/22mcg (30 D),0302000V0BBAAAA,19033
Beclomet Diprop/Formoterol_Inh100/6(120D,0302000C0AABXBX,17731
Flutiform_Inha 250/10mcg (120 D),0302000N0BDABBK,15604
Fostair NEXThaler_Inh 200mcg/6mcg (120D),0302000C0BRABCA,14504
Budesonide/Formoterol_InhaB/A 200/6(120D,0302000K0AAAMAM,14246
Seretide 100_Accuhaler 100mcg/50mcg(60D),0302000N0BCAAAX,11620
Fluticasone/Salmeterol_Inh 125/25mcg120D,0302000N0AABFBF,11218
Fluticasone/Salmeterol_Inh 250/25mcg120D,0302000N0AABGBG,10653
Qvar 100 E-Breathe_Inha 100mcg (200 D),0302000C0BJAFBH,8566
Fluticasone/Salmeterol_Inh 50/25mcg 120D,0302000N0AABEBE,8313
Clenil Modulite_Inha 250mcg (200D),0302000C0BPADBW,8006
Fluticasone/Salmeterol_Inh 500/50mcg 60D,0302000N0AAAZAZ,7780
Sereflo_Inh 250mcg/25mcg (120D),0302000N0BIABBG,7277
Flutiform_Inha 50/5mcg (120 D),0302000N0BDACBL,6915
Budesonide/Formoterol_InhaB/A 400/12(60D,0302000K0AAAUAU,6687
Sereflo_Inh 125mcg/25mcg (120D),0302000N0BIAABF,6636
Beclomet Diprop_Inha 100mcg (200 D) CFF,0302000C0AABFBF,6464
Fluticasone/Vilanterol_Inha 92/22mcg 30D,0302000V0AAABAB,5862
Pulmicort_Turbohaler 200mcg (100 D),0302000K0BBAHAG,5718
