bnf_name,bnf_code,items
Fostair_Inh 100mcg/6mcg (120D) CFF,0302000C0BQAABX,318552
Fostair_Inh 200mcg/6mcg (120D) CFF,0302000C0BQABBZ,72623
Fostair NEXThaler_Inh 100mcg/6mcg (120D),0302000C0BRAABY,42538
Symbicort_Turbohaler 400mcg/12mcg (60 D),0302000K0BDACAU,42269
Seretide 500_Accuhaler 500mcg/50mcg(60D),0302000N0BCACAZ,37283
Seretide 250_Evohaler 250mcg/25mcg(120D),0302000N0BCAFBG,34813
DuoResp Spiromax_Inh 320mcg/9mcg (60 D),0302000K0BHABAU,32977
Sirdupla_Inh 250mcg/25mcg (120D),0302000N0BFABBG,23505
Seretide 250_Accuhaler 250mcg/50mcg(60D),0302000N0BCABAY,22254
Relvar Ellipta_Inha 184mcg/22mcg (30 D),0302000V0BBAAAA,19701
Flutiform_Inha 250/10mcg (120 D),0302000N0BDABBK,16838
Fostair NEXThaler_Inh 200mcg/6mcg (120D),0302000C0BRABCA,15338
Fluticasone/Salmeterol_Inh 250/25mcg120D,0302000N0AABGBG,11632
Fluticasone/Salmeterol_Inh 500/50mcg 60D,0302000N0AAAZAZ,8634
Clenil Modulite_Inha 250mcg (200D),0302000C0BPADBW,8606
Budesonide/Formoterol_InhaB/A 400/12(60D,0302000K0AAAUAU,7473
Sereflo_Inh 250mcg/25mcg (120D),0302000N0BIABBG,7075
Fluticasone/Salmeterol_Inh 250/50mcg 60D,0302000N0AAAYAY,5457
Fluticasone/Formoterol_Inh 250/10mcg120D,0302000N0AABKBK,4912
AirFluSal_Inh 250mcg/25mcg (120D),0302000N0BGACBG,4808
Fluticasone Prop_Inha 250mcg (120 D) CFF,0302000N0AABCBC,3766
Pulmicort_Turbohaler 400mcg (50 D),0302000K0BBAIAH,2051
Flixotide_Evohaler 250mcg (120 D),0302000N0BBAZBC,1505
Fobumix_Easyhaler 320mcg/9mcg (60 D),0302000K0BIAAAU,1067
Fluticasone Prop_Pdr For Inh 250mcg(60D),0302000N0AAATAT,816
Flixotide_Accuhaler 250mcg (60 D),0302000N0BBATAT,807
Aerivio Spiromax_Inh 500/50mcg (60D),0302000N0BHAAAZ,679
Flixotide_Accuhaler 500mcg (60 D),0302000N0BBAUAU,436
Easyhaler_Budesonide 400mcg (100 D),0302000K0BGACAY,411
Fluticasone Prop_Pdr For Inh 500mcg(60D),0302000N0AAAUAU,355
Aloflute_Inh 250mcg/25mcg (120D),0302000N0BJABBG,196
Beclomet Diprop_Inha 250mcg (200 D) CFF,0302000C0AABWBW,133
Mometasone Fur_Pdr For Inh 400mcg (60 D),0302000R0AAADAD,64
Mometasone Fur_Pdr For Inh 400mcg (30 D),0302000R0AAACAC,39
Asmanex Twisthaler_D/P Inh 400mcg (60 D),0302000R0BBADAD,28
Asmanex Twisthaler_D/P Inh 400mcg (30 D),0302000R0BBACAC,26
