BNF Code,BNF Name,ADQ Value,ADQ Unit
010101000BBABA0,Langdales_Cinnamon Tab,N/A,N/A
0101010C0AAAAAA,Alum Hydrox_Cap 475mg,N/A,N/A
0101010C0AAACAC,Alum Hydrox_Oral Susp S/F,30,ML        
0101010C0AAAHAH,Alum Hydrox_Tab 500mg,N/A,N/A
0101010C0BBAAAA,Alu-Cap_Cap 475mg,N/A,N/A
0101010E0AAAEAE,Hydrotalcite_Oral Susp 500mg/5ml S/F,N/A,N/A
0101010F0AAAIAI,Mag Carb_Cap 500mg,N/A,N/A
0101010F0AAAUAU,Mag Carb_Heavy Cap 500mg,N/A,N/A
0101010F0BCAAAU,Magnesite_Cap 500mg,N/A,N/A
0101010G0AAABAB,Co-Magaldrox_Susp 195mg/220mg/5ml S/F,N/A,N/A
0101010G0AAACAC,Co-Magaldrox_Susp 300mg/600mg/5ml S/F,N/A,N/A
0101010G0BBABAB,Maalox_Susp 195mg/220mg/5ml S/F,N/A,N/A
0101010G0BBACAC,Maalox TC_Susp 300mg/600mg/5ml S/F,N/A,N/A
0101010G0BCABAB,Mucogel_Susp 195mg/220mg/5ml S/F,N/A,N/A
0101010I0AAABAB,Mag Ox_Cap 100mg,N/A,N/A
0101010I0AAACAC,Mag Ox_Cap 160mg,N/A,N/A
0101010I0AAADAD,Mag Ox_Cap 200mg,N/A,N/A
0101010I0AAAEAE,Mag Ox_Tab 100mg,N/A,N/A
0101010I0AAAHAH,Mag Ox_Cap 400mg,N/A,N/A
0101010I0AAAJAJ,Mag Ox_Cap 10mg,N/A,N/A
0101010I0AAALAL,Mag Ox_Tab 160mg,N/A,N/A
0101010I0AAAMAM,Mag Ox_Cap 250mg,N/A,N/A
0101010I0AAATAT,Mag Ox_Cap 320mg,N/A,N/A
0101010I0AAAUAU,Mag Ox_Cap 300mg,N/A,N/A
0101010I0AAAVAV,Mag Ox_Liq Spec 150mg/5ml,N/A,N/A
0101010I0AAAXAX,Mag Ox_Tab 500mg,N/A,N/A
0101010I0AAAYAY,Mag Ox_Cap 500mg,N/A,N/A
0101010I0AABIBI,Mag Ox_Tab 400mg,N/A,N/A
0101010I0AABPBP,Mag Ox_Tab 133mg,N/A,N/A
0101010I0BCAABI,Mag-Ox 400_Tab 400mg,N/A,N/A
0101010I0BDAAAC,Magstar_Cap 160mg,N/A,N/A
0101010I0BDABAB,Magstar_Cap 100mg,N/A,N/A
0101010I0BEAAAC,Oromag 160_Cap,N/A,N/A
0101010I0BEABAL,Oromag 160_Tab,N/A,N/A
0101010I0BFAAAE,Magdose_Tab 100mg,N/A,N/A
0101010I0BFABAB,Magdose_Cap 100mg,N/A,N/A
0101010I0BFACAL,Magdose_Tab 160mg,N/A,N/A
0101010I0BFADAC,Magdose_Cap 160mg,N/A,N/A
0101010I0BFAEAY,Magdose_Cap 500mg,N/A,N/A
0101010I0BGAAAB,Oximag_Cap 100mg,N/A,N/A
0101010J0AAAAAA,Mag Trisil_Mix,30,ML        
0101010J0AAAHAH,Mag Trisil Co_Tab,N/A,N/A
0101010L0AAAAAA,Gppe Susp_Asilone S/F,30,          
0101010L0AAAIAI,Gppe Susp_Maalox Plus S/F,30,          
0101010L0AAAKAK,Gppe Liq_Asilone S/F,30,          
0101010L0BBABAA,Asilone_Susp S/F,30,          
0101010L0BBADA0,Asilone Antacid_Tab 250mg,N/A,N/A
0101010L0BBAEAK,Asilone Antacid_Liq S/F,30,          
0101010L0BCABAG,Diovol_Susp S/F,30,          
0101010L0BEAAAI,Maalox Plus_Susp S/F,30,          
0101010L0BEACA0,Maalox Plus_Tab Chble,N/A,N/A
0101010L0BGACA0,Boots_Wind Relief Tab Chble,N/A,N/A
0101010N0AAAAAA,Antacid/Oxetacaine_Oral Susp S/F,N/A,N/A
0101010N0AAABAB,Antacid/Oxetacaine_Oral Susp,N/A,N/A
0101010N0BBAAAA,Mucaine_Susp S/F,N/A,N/A
0101010P0AAAAAA,Co-Simalcite_Susp 125mg/500mg/5ml S/F,N/A,N/A
0101010P0BBAAAA,Altacite Plus_Susp 125mg/500mg/5ml S/F,N/A,N/A
0101010Q0AAAAAA,Mag Hydrox_Oral Susp 415mg/5ml S/F,N/A,N/A
0101010Q0AAAGAG,Mag Hydrox_Oral Susp 7.45-8.35% BP,30,ML        
0101010Q0BDACAA,Phillips Milk Of Magnesia_Liq (Mint),30,ML        
0101010R0AAAAAA,Simeticone_Cap 100mg,N/A,N/A
0101010R0AAABAB,Simeticone_Susp 40mg/ml S/F,N/A,N/A
0101010R0AAADAD,Simeticone_Dps 21mg/2.5ml,N/A,N/A
0101010R0AAAEAE,Simeticone_Tab Chble 125mg,N/A,N/A
0101010R0AAAHAH,Simeticone_Cap 125mg,N/A,N/A
0101010R0BCAAAB,Infacol_Susp 40mg/ml S/F,N/A,N/A
0101010R0BEAAAD,Dentinox_Infant Colic Dps,N/A,N/A
0101010R0BFAAAE,Wind-Eze_Tab Chble 125mg,N/A,N/A
0101010R0BFABAH,Wind-Eze_Gelcap 125mg,N/A,N/A
0101010R0BHAAAA,WindSetlers_Cap 100mg,N/A,N/A
0101010S0AAAAAA,Calc Carb/Simeticone_Tab Chble800/125mg,N/A,N/A
0101010S0BBAAAA,Remegel Wind Relief_Tab Chble 800/125mg,N/A,N/A
0101010T0BBAAA0,Original Andrews Salts_Eff Pdr,N/A,N/A
0101010U0AAAAAA,Sod Cit_Oral Soln 441.17mg/5ml,N/A,N/A
0101010U0BBAAAA,Sodium Citrate 0.3M_Oral Soln,N/A,N/A
0101012A0AAAAAA,Gppe Gripe Water_Woodward's S/F,N/A,N/A
0101012A0BBAAAA,Woodward's_Gripe Water S/F Alcohol Free,N/A,N/A
