bnf_code,name,vpid,form,form_indicator,form_size,form_units,unit_of_measure,numerator,numerator_unit_of_measure,denominator,denominator_unit_of_measure,ingredient_count
010101000BBAJA0,Indigestion mixture,11772211000001100,Oral suspension,Discrete,5,ml,spoonful,35,mg,1,ml,3
010101000BBAJA0,Indigestion mixture,11772211000001100,Oral suspension,Discrete,5,ml,spoonful,45,mg,1,ml,3
0101010A0AAAAAA,Alexitol sodium 360mg tablets,4859911000001108,Tablet,Discrete,1,tablet,tablet,360,mg,,,1
0101010A0BBAAAA,Actal 360mg tablets,4859911000001108,Tablet,Discrete,1,tablet,tablet,360,mg,,,1
0101010C0AAAAAA,Aluminium hydroxide 475mg capsules,316937008,Capsule,Discrete,1,capsule,capsule,475,mg,,,1
0101010C0AAACAC,Aluminium hydroxide oral suspension sugar free,14608211000001109,Oral suspension,Discrete,5,ml,spoonful,40,mg,1,ml,1
0101010C0AAAHAH,Aluminium hydroxide 500mg chewable tablets,316933007,Chewable tablet,Discrete,1,tablet,tablet,500,mg,,,1
0101010C0BBAAAA,Alu-Cap 475mg capsules,316937008,Capsule,Discrete,1,capsule,capsule,475,mg,,,1
0101010C0BDABAC,Aludrox Liquid,14608211000001109,Oral suspension,Discrete,5,ml,spoonful,40,mg,1,ml,1
0101010E0AAAAAA,Hydrotalcite 500mg/5ml oral suspension,316960000,Oral suspension,Discrete,5,ml,spoonful,100,mg,1,ml,1
0101010E0AAAAAA,Hydrotalcite 500mg/5ml oral suspension sugar free,16593211000001103,Oral suspension,Discrete,5,ml,spoonful,100,mg,1,ml,1
0101010E0AAAEAE,Hydrotalcite 500mg/5ml oral suspension sugar free,16593211000001103,Oral suspension,Discrete,5,ml,spoonful,100,mg,1,ml,1
0101010F0AAABAB,Magnesium carbonate mixture aromatic,14614711000001107,Oral suspension,Continuous,,,,30,mg,1,ml,2
0101010F0AAABAB,Magnesium carbonate mixture aromatic,14614711000001107,Oral suspension,Continuous,,,,50,mg,1,ml,2
0101010F0AAAUAU,Magnesium carbonate heavy 500mg capsules,8794811000001106,Capsule,Discrete,1,capsule,capsule,500,mg,,,1
0101010F0BBAAA0,Andrews Antacid chewable tablets,4931311000001100,Chewable tablet,Discrete,1,tablet,tablet,125,mg,,,2
0101010F0BBAAA0,Andrews Antacid chewable tablets,4931311000001100,Chewable tablet,Discrete,1,tablet,tablet,600,mg,,,2
0101010F0BCAAAU,Magnesite 500mg capsules,8794811000001106,Capsule,Discrete,1,capsule,capsule,500,mg,,,1
0101010G0AAABAB,Co-magaldrox 195mg/220mg/5ml oral suspension sugar free,316964009,Oral suspension,Discrete,5,ml,spoonful,39,mg,1,ml,2
0101010G0AAABAB,Co-magaldrox 195mg/220mg/5ml oral suspension sugar free,316964009,Oral suspension,Discrete,5,ml,spoonful,44,mg,1,ml,2
0101010G0AAACAC,Co-magaldrox 300mg/600mg/5ml oral suspension sugar free,316965005,Oral suspension,Discrete,5,ml,spoonful,60,mg,1,ml,2
0101010G0AAACAC,Co-magaldrox 300mg/600mg/5ml oral suspension sugar free,316965005,Oral suspension,Discrete,5,ml,spoonful,120,mg,1,ml,2
0101010G0AAADAD,Co-magaldrox 300mg/600mg tablets,316963003,Tablet,Discrete,1,tablet,tablet,300,mg,,,2
0101010G0AAADAD,Co-magaldrox 300mg/600mg tablets,316963003,Tablet,Discrete,1,tablet,tablet,600,mg,,,2
0101010G0AAAGAG,Co-magaldrox 200mg/175mg/5ml oral suspension sugar free,34717411000001101,Oral suspension,Discrete,5,ml,spoonful,35,mg,1,ml,2
0101010G0AAAGAG,Co-magaldrox 200mg/175mg/5ml oral suspension sugar free,34717411000001101,Oral suspension,Discrete,5,ml,spoonful,40,mg,1,ml,2
0101010G0BBABAB,Maalox oral suspension,316964009,Oral suspension,Discrete,5,ml,spoonful,39,mg,1,ml,2
0101010G0BBABAB,Maalox oral suspension,316964009,Oral suspension,Discrete,5,ml,spoonful,44,mg,1,ml,2
0101010G0BBACAC,Maalox TC oral suspension,316965005,Oral suspension,Discrete,5,ml,spoonful,60,mg,1,ml,2
0101010G0BBACAC,Maalox TC oral suspension,316965005,Oral suspension,Discrete,5,ml,spoonful,120,mg,1,ml,2
0101010G0BBADAD,Maalox TC tablets,316963003,Tablet,Discrete,1,tablet,tablet,300,mg,,,2
0101010G0BBADAD,Maalox TC tablets,316963003,Tablet,Discrete,1,tablet,tablet,600,mg,,,2
0101010G0BBAHAG,Maalox 175mg/200mg/5ml oral suspension,34717411000001101,Oral suspension,Discrete,5,ml,spoonful,35,mg,1,ml,2
0101010G0BBAHAG,Maalox 175mg/200mg/5ml oral suspension,34717411000001101,Oral suspension,Discrete,5,ml,spoonful,40,mg,1,ml,2
0101010G0BCABAB,Mucogel oral suspension,316964009,Oral suspension,Discrete,5,ml,spoonful,39,mg,1,ml,2
0101010G0BCABAB,Mucogel oral suspension,316964009,Oral suspension,Discrete,5,ml,spoonful,44,mg,1,ml,2
0101010I0AAABAB,Magnesium oxide 100mg capsules,8795711000001104,Capsule,Discrete,1,capsule,capsule,100,mg,,,1
0101010I0AAACAC,Magnesium oxide 160mg capsules,8795911000001102,Capsule,Discrete,1,capsule,capsule,160,mg,,,1
0101010I0AAADAD,Magnesium oxide 200mg capsules,8796011000001105,Capsule,Discrete,1,capsule,capsule,200,mg,,,1
0101010I0AAAEAE,Magnesium oxide 100mg tablets,30769011000001100,Tablet,Discrete,1,tablet,tablet,100,mg,,,1
0101010I0AAAHAH,Magnesium oxide 400mg capsules,8796311000001108,Capsule,Discrete,1,capsule,capsule,400,mg,,,1
0101010I0AAAJAJ,Magnesium oxide 10mg capsules,8795811000001107,Capsule,Discrete,1,capsule,capsule,10,mg,,,1
0101010I0AAALAL,Magnesium oxide 160mg tablets,21216311000001107,Tablet,Discrete,1,tablet,tablet,160,mg,,,1
0101010I0AAAMAM,Magnesium oxide 250mg capsules,8796111000001106,Capsule,Discrete,1,capsule,capsule,250,mg,,,1
0101010I0AAATAT,Magnesium oxide 320mg capsules,27889011000001106,Capsule,Discrete,1,capsule,capsule,320,mg,,,1
0101010I0AAAUAU,Magnesium oxide 300mg capsules,8796211000001100,Capsule,Discrete,1,capsule,capsule,300,mg,,,1
0101010I0AAAVAV,Magnesium oxide 150mg/5ml oral suspension,12699311000001103,Oral suspension,Continuous,,,,30,mg,1,ml,1
0101010I0AAAXAX,Magnesium oxide 500mg tablets,20455511000001108,Tablet,Discrete,1,tablet,tablet,500,mg,,,1
0101010I0AAAYAY,Magnesium oxide 500mg capsules,8796411000001101,Capsule,Discrete,1,capsule,capsule,500,mg,,,1
0101010I0AABGBG,Magnesium oxide 160mg/5ml oral suspension,8661911000001107,Oral suspension,Continuous,,,,32,mg,1,ml,1
0101010I0AABIBI,Magnesium oxide 400mg tablets,16130811000001106,Tablet,Discrete,1,tablet,tablet,400,mg,,,1
0101010I0AABPBP,Magnesium oxide 133mg tablets,25090811000001108,Tablet,Discrete,1,tablet,tablet,133,mg,,,1
0101010I0AABQBQ,Magnesium oxide 375mg capsules,34665411000001102,Capsule,Discrete,1,capsule,capsule,375,mg,,,1
0101010I0BCAABI,Mag-Ox 400 tablets,16130811000001106,Tablet,Discrete,1,tablet,tablet,400,mg,,,1
0101010I0BDAAAC,Magstar 160mg capsules,8795911000001102,Capsule,Discrete,1,capsule,capsule,160,mg,,,1
0101010I0BDABAB,Magstar 100mg capsules,8795711000001104,Capsule,Discrete,1,capsule,capsule,100,mg,,,1
0101010I0BEAAAC,Oromag 160 capsules,8795911000001102,Capsule,Discrete,1,capsule,capsule,160,mg,,,1
0101010I0BEABAL,Oromag 160 tablets,21216311000001107,Tablet,Discrete,1,tablet,tablet,160,mg,,,1
0101010I0BFAAAE,Magdose 100mg tablets,30769011000001100,Tablet,Discrete,1,tablet,tablet,100,mg,,,1
0101010I0BFABAB,Magdose 100mg capsules,8795711000001104,Capsule,Discrete,1,capsule,capsule,100,mg,,,1
0101010I0BFACAL,Magdose 160mg tablets,21216311000001107,Tablet,Discrete,1,tablet,tablet,160,mg,,,1
0101010I0BFADAC,Magdose 160mg capsules,8795911000001102,Capsule,Discrete,1,capsule,capsule,160,mg,,,1
0101010I0BFAEAY,Magdose 500mg capsules,8796411000001101,Capsule,Discrete,1,capsule,capsule,500,mg,,,1
0101010I0BGAAAB,Oximag 100mg capsules,8795711000001104,Capsule,Discrete,1,capsule,capsule,100,mg,,,1
0101010J0AAAAAA,Boots Magnesium trisilicate mixture,14609911000001108,Oral suspension,Discrete,5,ml,spoonful,50,mg,1,ml,3
0101010J0AAAAAA,Magnesium trisilicate oral suspension,14609911000001108,Oral suspension,Discrete,5,ml,spoonful,50,mg,1,ml,3
0101010J0AAAGAG,Magnesium trisilicate compound powder,5240111000001100,Not applicable,Continuous,,,,250,mg,1,gram,4
0101010J0AAAHAH,Magnesium trisilicate compound tablets,34819511000001106,Tablet,Discrete,1,tablet,tablet,120,mg,,,2
0101010J0AAAHAH,Magnesium trisilicate compound tablets,34819511000001106,Tablet,Discrete,1,tablet,tablet,250,mg,,,2
0101010L0AAAAAA,Generic Asilone oral suspension sugar free,3391711000001101,Oral suspension,Discrete,5,ml,spoonful,14,mg,1,ml,3
0101010L0AAAAAA,Generic Asilone oral suspension sugar free,3391711000001101,Oral suspension,Discrete,5,ml,spoonful,27,mg,1,ml,3
0101010L0AAAAAA,Generic Asilone oral suspension sugar free,3391711000001101,Oral suspension,Discrete,5,ml,spoonful,84,mg,1,ml,3
0101010L0AAAIAI,Generic Maalox Plus oral suspension sugar free,3545911000001109,Oral suspension,Discrete,5,ml,spoonful,5,mg,1,ml,3
0101010L0AAAIAI,Generic Maalox Plus oral suspension sugar free,3545911000001109,Oral suspension,Discrete,5,ml,spoonful,39,mg,1,ml,3
0101010L0AAAIAI,Generic Maalox Plus oral suspension sugar free,3545911000001109,Oral suspension,Discrete,5,ml,spoonful,44,mg,1,ml,3
0101010L0BBABAA,Asilone oral suspension,3391711000001101,Oral suspension,Discrete,5,ml,spoonful,14,mg,1,ml,3
0101010L0BBABAA,Asilone oral suspension,3391711000001101,Oral suspension,Discrete,5,ml,spoonful,27,mg,1,ml,3
0101010L0BBABAA,Asilone oral suspension,3391711000001101,Oral suspension,Discrete,5,ml,spoonful,84,mg,1,ml,3
0101010L0BBADA0,Asilone Antacid chewable tablets,4930611000001100,Chewable tablet,Discrete,1,tablet,tablet,270,mg,,,2
0101010L0BBADA0,Asilone Antacid chewable tablets,4930611000001100,Chewable tablet,Discrete,1,tablet,tablet,500,mg,,,2
0101010L0BBAEAK,Asilone Antacid liquid,3391711000001101,Oral suspension,Discrete,5,ml,spoonful,14,mg,1,ml,3
0101010L0BBAEAK,Asilone Antacid liquid,3391711000001101,Oral suspension,Discrete,5,ml,spoonful,27,mg,1,ml,3
0101010L0BBAEAK,Asilone Antacid liquid,3391711000001101,Oral suspension,Discrete,5,ml,spoonful,84,mg,1,ml,3
0101010L0BEAAAI,Maalox Plus oral suspension,3545911000001109,Oral suspension,Discrete,5,ml,spoonful,5,mg,1,ml,3
