,bnf_name,bnf_code,form_route
0,Incruse Ellipta_Inh 55mcg (30D),0301020T0BBAAAA,powderinhalation.inhalation
1,Formoterol Fumar_Inh 12mcg (100D) CFF,0301011E0AAADAD,pressurizedinhalation.inhalation
2,Sirdupla_Inh 250mcg/25mcg (120D),0302000N0BFABBG,pressurizedinhalation.inhalation
3,Tiotropium_Pdr For Inh Cap 18mcg + Dev,0301020Q0AAAAAA,powderinhalation.inhalation
4,Sod Cromoglicate_Inha 5mg (112D) CFF,0303010Q0AAANAN,pressurizedinhalation.inhalation
5,Bricanyl_Inha 250mcg (400 D),0301011V0BBADAA,pressurizedinhalation.inhalation
6,Ventolin_R/Cap 200mcg,0301011R0BEAPAV,powderinhalation.inhalation
7,Ventodisks_Disk 200mcg Ref,0301011R0BLABAK,powderinhalation.inhalation
8,Beclomet Diprop_Pdr For Inh 50mcg(200 D),0302000C0AABIBI,powderinhalation.inhalation
9,Flixotide_Disk 100mcg Ref,0302000N0BBADAD,powderinhalation.inhalation
10,Salbutamol_Inha 100mcg (200 D) CFF,0301011R0AAAPAP,pressurizedinhalation.inhalation
11,Flixotide_Accuhaler 500mcg (60 D),0302000N0BBAUAU,powderinhalation.inhalation
12,Oxis 6_Turbohaler 6mcg (60 D),0301011E0BCAAAB,powderinhalation.inhalation
13,Aerivio Spiromax_Inh 500/50mcg (60D),0302000N0BHAAAZ,powderinhalation.inhalation
14,Atrovent Fte_Inha 40mcg (200 D),0301020I0BBADAD,pressurizedinhalation.inhalation
15,Pulvinal Beclomet_Inha 100mcg (100 D),0302000C0BLABBN,powderinhalation.inhalation
16,Beclazone 200_Inha 200mcg (200 D),0302000C0BFAGAR,pressurizedinhalation.inhalation
17,Pulmicort L.S._Inha 50mcg (200 D),0302000K0BBAEAA,pressurizedinhalation.inhalation
18,DuoResp Spiromax_Inh 160mcg/4.5mcg(120D),0302000K0BHAAAM,powderinhalation.inhalation
19,Pulmicort_Inha 200mcg (120 D) CFF,0302000K0BBANBA,pressurizedinhalation.inhalation
20,Beclazone 50_Inha 50mcg (200 D),0302000C0BFAAAA,pressurizedinhalation.inhalation
