bnf_name,bnf_code,form_route
Atrovent_Inha 20mcg (200 D) CFF         ,0301020I0BBAJAN,pressurizedinhalation.inhalation
Fostair_Inh 200mcg/6mcg (120D) CFF      ,0302000C0BQABBZ,pressurizedinhalation.inhalation
Mometasone Fur_Pdr For Inh 400mcg (30 D),0302000R0AAACAC,powderinhalation.inhalation
Filair 100_Inha 100mcg (200 D)          ,0302000C0BGABAB,pressurizedinhalation.inhalation
Soltel_Inha 25mcg (120D) CFF            ,0301011U0BGAAAH,pressurizedinhalation.inhalation
Becloforte_Disk 400mcg & Diskhaler      ,0302000C0BBACAJ,powderinhalation.inhalation
Becodisks_Disk 400mcg Ref,0302000C0BHAFAQ,powderinhalation.inhalation
Clenil Modulite_Inha 200mcg (200D)      ,0302000C0BPACBV,pressurizedinhalation.inhalation
Clenil Modulite_Inha 100mcg (200D)      ,0302000C0BPABBF,pressurizedinhalation.inhalation
Symbicort_Turbohaler 400mcg/12mcg (60 D),0302000K0BDACAU,powderinhalation.inhalation
Salamol_Inha 100mcg (200 D) CFF (Arrow) ,0301011R0BIAHAP,pressurizedinhalation.inhalation
Beclomet Diprop_Inha 250mcg (200D)      ,0302000C0AAACAC,pressurizedinhalation.inhalation
Beclazone 50_Inha 50mcg (200 D)         ,0302000C0BFAAAA,pressurizedinhalation.inhalation
Salbutamol_Pdr For Inh Cap 400mcg       ,0301011R0AAAWAW,powderinhalation.inhalation
Ciclesonide_Inh 80mcg (120 D) CFF,0302000U0AAAAAA,pressurizedinhalation.inhalation
Neovent_Inha 25mcg (120 D) CFF,0301011U0BDAAAH,pressurizedinhalation.inhalation
Salbutamol_Inha B/A 100mcg (200 D),0301011R0AAADAD,pressurizedinhalation.inhalation
Flixotide_Evohaler 125mcg (120 D)       ,0302000N0BBAXBA,pressurizedinhalation.inhalation
Beclomet Diprop_Inha B/A 50mcg(200 D)CFF,0302000C0AABGBG,pressurizedinhalation.inhalation
Symbicort_Inh Pressurised 200/6mcg(120D),0302000K0BDADBB,pressurizedinhalation.inhalation
Symbicort_Inh 200mcg/6mcg (120 D)       ,0302000K0BDADBB,pressurizedinhalation.inhalation
Beclazone 100 E-Breathe_Inha 100mcg(200D,0302000C0BFAEAT,pressurizedinhalation.inhalation
Pulmicort_Turbohaler 100mcg (200 D),0302000K0BBAKAK,powderinhalation.inhalation
Formoterol Fumar_Pdr Inh Cap 12mcg +Dev,0301011E0AAAAAA,powderinhalation.inhalation
Ciclesonide_Inh 160mcg (120 D) CFF,0302000U0AAABAB,pressurizedinhalation.inhalation
Fluticasone/Salmeterol_Inh 100/50mcg 60D,0302000N0AAAXAX,powderinhalation.inhalation
Pulmicort_Turbohaler 400mcg (50 D)      ,0302000K0BBAIAH,powderinhalation.inhalation
Seretide 250_Evohaler 250mcg/25mcg(120D),0302000N0BCAFBG,pressurizedinhalation.inhalation
Salbutamol_Pdr For Inh 200mcg (100 D)   ,0301011R0AABYBY,powderinhalation.inhalation
Becloforte_Inha 250mcg (200 D)          ,0302000C0BBAAAC,pressurizedinhalation.inhalation
Beclomet Diprop_Inh B/A 400mcg (100 D)  ,0302000C0AABSBS,powderinhalation.inhalation
Qvar 50_Inha 50mcg (200 D),0302000C0BJAABE,pressurizedinhalation.inhalation
Flixotide_Evohaler 250mcg (120 D),0302000N0BBAZBC,pressurizedinhalation.inhalation
Flixotide_Accuhaler 100mcg (60 D),0302000N0BBASAS,powderinhalation.inhalation
Budesonide_Inha 50mcg (200 D),0302000K0AAAAAA,pressurizedinhalation.inhalation
Symbicort_Turbohaler 100mcg/6mcg (120 D),0302000K0BDAAAL,powderinhalation.inhalation
Fluticasone/Salmeterol_Inh 250/50mcg 60D,0302000N0AAAYAY,powderinhalation.inhalation
Intal_Inha 5mg (112D) CFF               ,0303010Q0BBALAN,pressurizedinhalation.inhalation
Ventolin_Accuhaler 200mcg (60 D),0301011R0BEAHAQ,powderinhalation.inhalation
Salmeterol_Pdr For Inh 50mcg + Ref,0301011U0AAABAB,powderinhalation.inhalation
Beclomet Diprop_Pdr Inh 400mcg Disk+Dev,0302000C0AAAJAJ,powderinhalation.inhalation
Budesonide_Inha 100mcg (120 D) CFF,0302000K0AAAZAZ,pressurizedinhalation.inhalation
Budesonide_Pdr For Inh 100mcg (200 D)   ,0302000K0AAAKAK,powderinhalation.inhalation
Fluticasone Prop_Inha 125mcg (120 D) CFF,0302000N0AABABA,pressurizedinhalation.inhalation
Anoro Ellipta_Inha 55mcg/22mcg (30D)    ,0301040W0BBAAAA,powderinhalation.inhalation
Foradil_Inh Cap 12mcg + Inha            ,0301011E0BBAAAA,powderinhalation.inhalation
Flutiform_Inha 50/5mcg (120 D)          ,0302000N0BDACBL,pressurizedinhalation.inhalation
Easyhaler_Budesonide 400mcg (100 D)     ,0302000K0BGACAY,powderinhalation.inhalation
Salmeterol_Pdr For Inh 50mcg + Ref      ,0301011U0AAABAB,powderinhalation.inhalation
Fluticasone Prop_Pdr Inh 500mcg Disk Ref,0302000N0AAAQAQ,powderinhalation.inhalation
Salbutamol_Pdr For Inh Cap 200mcg       ,0301011R0AAAVAV,powderinhalation.inhalation
Ultibro Breezhaler_Pdr Inh Cap + Dev,0301040Y0BBAAAA,powderinhalation.inhalation
Sirdupla_Inh 125mcg/25mcg (120D),0302000N0BFAABF,pressurizedinhalation.inhalation
Budelin Novolizer_Inh 200mcg (100 D),0302000K0BFAAAV,powderinhalation.inhalation
Gppe Inha B/A_Duovent (200 D)           ,0301040M0AAACAC,pressurizedinhalation.inhalation
Budesonide/Formoterol_InhaB/A 200/6(120D,0302000K0AAAMAM,powderinhalation.inhalation
Symbicort_Turbohaler 200mcg/6mcg (120 D),0302000K0BDABAM,powderinhalation.inhalation
Serevent_Accuhaler 50mcg (60 D)         ,0301011U0BBAEAE,powderinhalation.inhalation
Formoterol Fumar_Pdr For Inh 12mcg(60 D),0301011E0AAACAC,powderinhalation.inhalation
Formoterol Fumar_Pdr Inh Cap 12mcg +Dev ,0301011E0AAAAAA,powderinhalation.inhalation
Spiriva Respimat_Inha 2.5mcg (60D)+ Dev ,0301020Q0BBACAC,pressurizedinhalation.inhalation
Glycopyrronium Brom_Inh Cap 55mcg + Dev,0301020S0AAAAAA,powderinhalation.inhalation
Nedocromil Sod_Inha 2mg (112 D) + Spac  ,0303010J0AAACAC,pressurizedinhalation.inhalation
DuoResp Spiromax_Inh 160mcg/4.5mcg(120D),0302000K0BHAAAM,powderinhalation.inhalation
Spiriva Respimat_Inha 2.5mcg (60D) + Dev,0301020Q0BBACAC,pressurizedinhalation.inhalation
Pulmicort_Turbohaler 100mcg (200 D)     ,0302000K0BBAKAK,powderinhalation.inhalation
Beclomet Diprop_Pdr Inh 100mcg Disk Ref ,0302000C0AAALAL,powderinhalation.inhalation
Flixotide_Disk 100mcg Ref               ,0302000N0BBADAD,powderinhalation.inhalation
Flixotide_Accuhaler 250mcg (60 D),0302000N0BBATAT,powderinhalation.inhalation
Beclomet Diprop_Inha 200mcg (200 D) CFF,0302000C0AABVBV,pressurizedinhalation.inhalation
Serevent_Disk 50mcg + Diskhaler,0301011U0BBAAAA,powderinhalation.inhalation
Ipratrop Brom_Inha B/A 20mcg (200 D)    ,0301020I0AAAGAG,pressurizedinhalation.inhalation
Beclomet Diprop_Pdr For Inh 100mcg(200 D,0302000C0AABJBJ,powderinhalation.inhalation
Beclomet Diprop_Inha B/A 100mcg (200 D) ,0302000C0AAATAT,pressurizedinhalation.inhalation
Budesonide_Inha 200mcg (200 D)          ,0302000K0AAADAD,pressurizedinhalation.inhalation
Beclomet Diprop_Inha B/A 400mcg (100 D),0302000C0AABSBS,powderinhalation.inhalation
Salamol E-Breathe_Inh 100mcg (200 D) CFF,0301011R0BIAGBU,pressurizedinhalation.inhalation
Qvar 50_Autohaler 50mcg (200 D)         ,0302000C0BJACBG,pressurizedinhalation.inhalation
Onbrez Breezhaler_Pdr Inh Cap 300mcg+Dev,0301011X0BBABAB,powderinhalation.inhalation
Budesonide/Formoterol Inh 200/6(120D)CFF,0302000K0AABBBB,pressurizedinhalation.inhalation
Olodaterol_Inha 2.5mcg (60D) CFF + Dev  ,0301011Z0AAAAAA,pressurizedinhalation.inhalation
Flixotide_Disk 250mcg & Diskhaler       ,0302000N0BBAEAE,powderinhalation.inhalation
Clenil Modulite_Inha 250mcg (200D),0302000C0BPADBW,pressurizedinhalation.inhalation
Bricanyl_Inha 250mcg (400 D) + Spac     ,0301011V0BBAFAF,pressurizedinhalation.inhalation
Beclomet Diprop_Pdr Inh 400mcg Disk Ref,0302000C0AAAQAQ,powderinhalation.inhalation
Eklira_Inh 322mcg (60D) (Genuair)       ,0301020R0BBAAAA,powderinhalation.inhalation
Budesonide_Pdr For Inh 200mcg (100D) Ref,0302000K0AAAWAW,powderinhalation.inhalation
Intal_Inha 5mg (112 D) CFF              ,0303010Q0BBALAN,pressurizedinhalation.inhalation
Neovent_Inha 25mcg (120 D) CFF          ,0301011U0BEAAAH,pressurizedinhalation.inhalation
Formoterol Fumar_Pdr For Inh 12mcg(60 D ,0301011E0AAACAC,powderinhalation.inhalation
Fluticasone Prop_Pdr Inh 250mcg Disk+Dev,0302000N0AAAEAE,powderinhalation.inhalation
Ipratrop Brom_Pdr For Inh Cap 40mcg+Dev ,0301020I0AAAHAH,powderinhalation.inhalation
Clenil Modulite_Inha 50mcg (200D),0302000C0BPAABE,pressurizedinhalation.inhalation
Spiriva_Pdr For Inh Cap 18mcg,0301020Q0BBABAB,powderinhalation.inhalation
Beclomet Diprop_Pdr For Inh 200mcg(200D),0302000C0AABUBU,powderinhalation.inhalation
Beclazone 250_Inha 250mcg (200 D),0302000C0BFACAC,pressurizedinhalation.inhalation
Qvar 100_Inha 100mcg (200 D)            ,0302000C0BJABBF,pressurizedinhalation.inhalation
Pulvinal Beclomet_Inha 200mcg (100 D)   ,0302000C0BLAABM,powderinhalation.inhalation
Becotide_R/Cap 200mcg                   ,0302000C0BCADAF,powderinhalation.inhalation
Bricanyl_Turbohaler 500mcg (100 D),0301011V0BBAMAL,powderinhalation.inhalation
Serevent_Evohaler 25mcg (120 D),0301011U0BBAFAH,pressurizedinhalation.inhalation
Sereflo_Inh 250mcg/25mcg (120D),0302000N0BIABBG,pressurizedinhalation.inhalation
AirFluSal_Inh 250mcg/25mcg (120D),0302000N0BGACBG,pressurizedinhalation.inhalation
Budesonide/Formoterol_InhaB/A 100/6(120D,0302000K0AAALAL,powderinhalation.inhalation
Serevent_Inha 25mcg (60 D),0301011U0BBADAD,pressurizedinhalation.inhalation
Pulmicort_Inha 200mcg (120 D) CFF,0302000K0BBANBA,pressurizedinhalation.inhalation
Duovent_Inha (200 D)                    ,0301040M0BBAAAA,pressurizedinhalation.inhalation
Beclomet Diprop_Pdr Inh 400mcg Disk Ref ,0302000C0AAAQAQ,powderinhalation.inhalation
Anoro Ellipta_Inha 65mcg/22mcg (30D)    ,0301040W0BBAAAA,powderinhalation.inhalation
Salbutamol 200 Cyclocaps_Cap 200mcg     ,0301011R0BPACAV,powderinhalation.inhalation
Salbutamol_Pdr For Inh 400mcg Disk Ref  ,0301011R0AAALAL,powderinhalation.inhalation
Qvar 100 E-Breathe_Inha 100mcg (200 D),0302000C0BJAFBH,pressurizedinhalation.inhalation
Flixotide_Accuhaler 50mcg (60 D),0302000N0BBARAR,powderinhalation.inhalation
Easyhaler_Budesonide 400mcg (100 D),0302000K0BGACAY,powderinhalation.inhalation
Vertine_Inha 25mcg (120 D) CFF,0301011U0BFAAAH,pressurizedinhalation.inhalation
Beclomet Diprop_Inha 250mcg (200 D) CFF,0302000C0AABWBW,pressurizedinhalation.inhalation
Umeclidinium Brom_Inh 65mcg (30D)       ,0301020T0AAAAAA,powderinhalation.inhalation
Asmavent_Inha 100mcg (200D),0301011R0BYAAAP,pressurizedinhalation.inhalation
Budesonide/Formoterol Inh B/A 100/6(120D,0302000K0AAALAL,powderinhalation.inhalation
Nedocromil Sod_Inha 2mg (112 D) CFF     ,0303010J0AAADAD,pressurizedinhalation.inhalation
Beclomet/Formoterol_Inh 200/6 (120D) Dry,0302000C0AACACA,powderinhalation.inhalation
Vertine_Inha 25mcg (120 D) CFF          ,0301011U0BFAAAH,pressurizedinhalation.inhalation
Becotide 200_Inha 200mcg (200 D)        ,0302000C0BCAQAR,pressurizedinhalation.inhalation
Budesonide_Inha 50mcg (200 D)           ,0302000K0AAAAAA,pressurizedinhalation.inhalation
Sirdupla_Inh 250mcg/25mcg (120D),0302000N0BFABBG,pressurizedinhalation.inhalation
Salamol_Inha 100mcg (200 D) CFF (Teva),0301011R0BIAFAP,pressurizedinhalation.inhalation
Serevent_Accuhaler 50mcg (60 D),0301011U0BBAEAE,powderinhalation.inhalation
Easyhaler_Budesonide 200mcg (200 D),0302000K0BGABAX,powderinhalation.inhalation
AirSalb_Inha 100mcg (200 D) CFF,0301011R0BZAAAP,pressurizedinhalation.inhalation
Aerivio Spiromax_Inh 500/50mcg (60D),0302000N0BHAAAZ,powderinhalation.inhalation
Tilade_Mint Syncroner Inha 2mg (112 D)  ,0303010J0BBAEAC,pressurizedinhalation.inhalation
Tiotropium/Olodaterol_Inha2.5/2.5mcg+Dev,0301040X0AAAAAA,pressurizedinhalation.inhalation
Beclomet Diprop_Inha B/A 250mcg (200 D),0302000C0AAAUAU,pressurizedinhalation.inhalation
Pulvinal Beclomet_Inha 100mcg (100 D)   ,0302000C0BLABBN,powderinhalation.inhalation
Terbut Sulf_Inha 250mcg (400 D) + Spac  ,0301011V0AAAFAF,pressurizedinhalation.inhalation
Becodisks_Disk 400mcg & Diskhaler       ,0302000C0BHAEAJ,powderinhalation.inhalation
Beclometasone 400 Cyclocaps_Cap 400mcg  ,0302000C0BMACAI,powderinhalation.inhalation
Terbut Sulph_Inha 250mcg (400 D)        ,0301011V0AAAAAA,pressurizedinhalation.inhalation
Beclomet Diprop_Inha 100mcg (200 D) CFF,0302000C0AABFBF,pressurizedinhalation.inhalation
Duaklir Genuair_340mcg/12mcg (60D),0301040V0BBAAAA,powderinhalation.inhalation
Salbutamol_Inha 100mcg (200 D),0301011R0AAAAAA,pressurizedinhalation.inhalation
Trimbow_Inh 87mcg/5mcg/9mcg (120 D),0301011ABBBAAA0,pressurizedinhalation.inhalation
Inhalvent_Inha 20mcg (200D),0301020I0BIAAAN,pressurizedinhalation.inhalation
Combivent_Inha (200 D),0301040R0BBAAAA,pressurizedinhalation.inhalation
Sirdupla_Inh 250mcg/25mcg (120D)        ,0302000N0BFABBG,pressurizedinhalation.inhalation
Fluticasone/Salmeterol_Inh 50/25mcg 120D,0302000N0AABEBE,pressurizedinhalation.inhalation
Beclomet Diprop_Inha B/A100mcg(200 D)CFF,0302000C0AABHBH,pressurizedinhalation.inhalation
Atimos Modulite_Inh 12mcg (100D)        ,0301011E0BDAAAD,pressurizedinhalation.inhalation
Budesonide_Inha 200mcg (120 D) CFF      ,0302000K0AABABA,pressurizedinhalation.inhalation
Salmeterol_Pdr For Inh 50mcg Disk + Dev ,0301011U0AAAAAA,powderinhalation.inhalation
