bnf_name,bnf_code
Salbutamol_Inha 100mcg (200 D),0301011R0AAAAAA
Salamol_Inha 100mcg (200 D) CFF (Arrow),0301011R0BIAHAP
Salbutamol_Inha B/A 100mcg (200 D) CFF,0301011R0AABUBU
Ventolin_Evohaler 100mcg (200 D),0301011R0BEAIAP
Salamol_Inha 100mcg (200 D) CFF (Teva),0301011R0BIAFAP
Airomir_Autohaler 100mcg (200 D) CFF,0301011R0BMABBU
Salbutamol_Inha B/A 100mcg (200 D),0301011R0AAADAD
Salbutamol_Inha 100mcg (200 D) CFF,0301011R0AAAPAP
Salamol E-Breathe_Inh 100mcg (200 D) CFF,0301011R0BIAGBU
Airomir_Inha 100mcg (200 D),0301011R0BMAAAP
AirSalb_Inha 100mcg (200 D) CFF,0301011R0BZAAAP
Asmavent_Inha 100mcg (200D),0301011R0BYAAAP
