,PRODUCT,level_1,PPU
0,Acetazolamide_Liq Spec 100mg/5ml,0.1,0.8988436364000001
1,Acetazolamide_Liq Spec 100mg/5ml,0.2,1.1086999999999998
2,Acetazolamide_Liq Spec 100mg/5ml,0.30000000000000004,1.28993
3,Acetazolamide_Liq Spec 100mg/5ml,0.4,1.4580155551999998
4,Acetazolamide_Liq Spec 100mg/5ml,0.5,1.760125
5,Acetazolamide_Liq Spec 100mg/5ml,0.6,2.17382
6,Acetazolamide_Liq Spec 100mg/5ml,0.7000000000000001,2.7123
7,Acetazolamide_Liq Spec 100mg/5ml,0.8,2.7433319999999997
8,Acetazolamide_Liq Spec 100mg/5ml,0.9,3.6008
9,Acetazolamide_Liq Spec 125mg/5ml,0.1,0.863074
10,Acetazolamide_Liq Spec 125mg/5ml,0.2,0.885324
11,Acetazolamide_Liq Spec 125mg/5ml,0.30000000000000004,0.9292033333
12,Acetazolamide_Liq Spec 125mg/5ml,0.4,1.327133333
13,Acetazolamide_Liq Spec 125mg/5ml,0.5,1.327133333
14,Acetazolamide_Liq Spec 125mg/5ml,0.6,1.630033333
15,Acetazolamide_Liq Spec 125mg/5ml,0.7000000000000001,1.630033333
16,Acetazolamide_Liq Spec 125mg/5ml,0.8,1.89914
17,Acetazolamide_Liq Spec 125mg/5ml,0.9,1.9871175
18,Acetazolamide_Liq Spec 500mg/5ml,0.1,0.483333333
19,Acetazolamide_Liq Spec 500mg/5ml,0.2,0.483333333
20,Acetazolamide_Liq Spec 500mg/5ml,0.30000000000000004,0.483333333
21,Acetazolamide_Liq Spec 500mg/5ml,0.4,0.483333333
22,Acetazolamide_Liq Spec 500mg/5ml,0.5,0.483333333
23,Acetazolamide_Liq Spec 500mg/5ml,0.6,0.483333333
24,Acetazolamide_Liq Spec 500mg/5ml,0.7000000000000001,0.5082716663999999
25,Acetazolamide_Liq Spec 500mg/5ml,0.8,0.5830866666000001
26,Acetazolamide_Liq Spec 500mg/5ml,0.9,0.6579016668000001
27,Acetic Acid_Soln 0.5%,0.1,0.610402
28,Acetic Acid_Soln 0.5%,0.2,0.615244
29,Acetic Acid_Soln 0.5%,0.30000000000000004,0.620086
30,Acetic Acid_Soln 0.5%,0.4,0.6249279999999999
31,Acetic Acid_Soln 0.5%,0.5,0.6297699999999999
32,Acetic Acid_Soln 0.5%,0.6,0.634612
33,Acetic Acid_Soln 0.5%,0.7000000000000001,0.639454
34,Acetic Acid_Soln 0.5%,0.8,0.644296
35,Acetic Acid_Soln 0.5%,0.9,0.649138
36,Acetic Acid_Soln 3%,0.1,3.95479
37,Acetic Acid_Soln 3%,0.2,4.26848
38,Acetic Acid_Soln 3%,0.30000000000000004,4.58217
39,Acetic Acid_Soln 3%,0.4,4.895859999999999
40,Acetic Acid_Soln 3%,0.5,5.20955
41,Acetic Acid_Soln 3%,0.6,5.5232399999999995
42,Acetic Acid_Soln 3%,0.7000000000000001,5.836929999999999
43,Acetic Acid_Soln 3%,0.8,6.150619999999999
44,Acetic Acid_Soln 3%,0.9,6.46431
45,Acetyl-L-Carnitine_Tab 500mg,0.1,0.7707678571000001
46,Acetyl-L-Carnitine_Tab 500mg,0.2,1.1429285712000001
47,Acetyl-L-Carnitine_Tab 500mg,0.30000000000000004,1.228660714
48,Acetyl-L-Carnitine_Tab 500mg,0.4,1.5887142856000003
49,Acetyl-L-Carnitine_Tab 500mg,0.5,1.8897083335
50,Acetyl-L-Carnitine_Tab 500mg,0.6,1.950666667
51,Acetyl-L-Carnitine_Tab 500mg,0.7000000000000001,1.9506666669999997
52,Acetyl-L-Carnitine_Tab 500mg,0.8,1.9506669742
53,Acetyl-L-Carnitine_Tab 500mg,0.9,3.2633007876999955
54,Acetylcy_Cap 600mg,0.1,0.7785000002000001
55,Acetylcy_Cap 600mg,0.2,0.9959523809999999
56,Acetylcy_Cap 600mg,0.30000000000000004,0.996
57,Acetylcy_Cap 600mg,0.4,1.0054666666
58,Acetylcy_Cap 600mg,0.5,1.494
59,Acetylcy_Cap 600mg,0.6,1.6293968255999998
