month,chemical,chemical_code,items
2010-08-01,Nitrous Oxide,1501020R0,192
2010-09-01,Nitrous Oxide,1501020R0,272
2010-10-01,Nitrous Oxide,1501020R0,160
2010-11-01,Nitrous Oxide,1501020R0,64
2010-12-01,Nitrous Oxide,1501020R0,144
2011-01-01,Nitrous Oxide,1501020R0,16
2011-02-01,Nitrous Oxide,1501020R0,160
2011-03-01,Nitrous Oxide,1501020R0,80
2011-04-01,Nitrous Oxide,1501020R0,32
2011-05-01,Nitrous Oxide,1501020R0,128
2011-06-01,Nitrous Oxide,1501020R0,32
2011-07-01,Nitrous Oxide,1501020R0,64
2011-08-01,Nitrous Oxide,1501020R0,16
2011-09-01,Nitrous Oxide,1501020R0,96
2011-10-01,Nitrous Oxide,1501020R0,32
2011-11-01,Nitrous Oxide,1501020R0,128
2011-12-01,Nitrous Oxide,1501020R0,32
2012-01-01,Nitrous Oxide,1501020R0,64
2012-02-01,Nitrous Oxide,1501020R0,240
2012-03-01,Nitrous Oxide,1501020R0,144
2012-04-01,Nitrous Oxide,1501020R0,128
2012-05-01,Nitrous Oxide,1501020R0,240
2012-06-01,Nitrous Oxide,1501020R0,224
2012-07-01,Nitrous Oxide,1501020R0,112
2012-08-01,Nitrous Oxide,1501020R0,128
2012-09-01,Nitrous Oxide,1501020R0,240
2012-10-01,Nitrous Oxide,1501020R0,144
2012-11-01,Nitrous Oxide,1501020R0,464
2012-12-01,Nitrous Oxide,1501020R0,112
2013-01-01,Nitrous Oxide,1501020R0,144
2013-02-01,Nitrous Oxide,1501020R0,112
2013-03-01,Nitrous Oxide,1501020R0,96
2013-04-01,Nitrous Oxide,1501020R0,16
2013-05-01,Nitrous Oxide,1501020R0,80
2013-06-01,Nitrous Oxide,1501020R0,80
2013-07-01,Nitrous Oxide,1501020R0,96
2013-08-01,Nitrous Oxide,1501020R0,32
2013-09-01,Nitrous Oxide,1501020R0,48
2013-10-01,Nitrous Oxide,1501020R0,16
2013-11-01,Nitrous Oxide,1501020R0,64
2014-01-01,Alogliptin,0601023AK,6
2014-01-01,Fluticasone Furoate (Inh),0302000V0,680
2014-01-01,Nitrous Oxide,1501020R0,112
2014-01-01,Solifenacin/Tamsulosin,0704010W0,30
2014-02-01,Alogliptin,0601023AK,36
2014-02-01,Canagliflozin,0601023AM,4
2014-02-01,Fluticasone Furoate (Inh),0302000V0,3320
2014-02-01,Nitrous Oxide,1501020R0,80
2014-02-01,Solifenacin/Tamsulosin,0704010W0,82
2014-03-01,Alogliptin,0601023AK,300
2014-03-01,Aripiprazole,0402020AD,4
2014-03-01,Canagliflozin,0601023AM,44
2014-03-01,Fluticasone Furoate (Inh),0302000V0,8685
