,code,chemical,month_introduced,items_in_first_month,items_in_current_month
0,0601023AK,Alogliptin,2014-01-01,1,569604
1,1501020R0,Nitrous Oxide,2014-01-01,7,1264
2,0601023AQ,Dulaglutide,2015-01-01,2,139360
3,0301040X0,Tiotropium Brom/Olodaterol,2015-07-01,2,30314
4,0601023AM,Canagliflozin,2014-02-01,1,146664
5,0501070AE,Fosfomycin Trometamol,2016-12-01,693,29448
6,0301040W0,Umeclidinium Brom/Vilanterol,2014-07-01,16,90280
7,1001022Y0,Triamcinolone Hexacetonide,2014-11-01,3,2142
8,0404000V0,Guanfacine,2016-02-01,7,11240
9,0704010W0,Solifenacin/Tamsulosin,2014-01-01,15,9040
10,0601023AV,Saxagliptin/Dapagliflozin,2016-12-01,5,1428
11,1306030B0,Ivermectin,2015-06-01,2,8240
12,1106000AL,Brinzolamide/Brimonidine,2014-07-01,8,32716
13,0601023AR,Empagliflozin/Metformin,2015-10-01,7,23608
14,1104020AE,Ciclosporin (Eye Anti Inflam),2015-07-01,1,9456
15,0106060B0,Naloxegol,2015-09-01,3,6616
16,0205052AE,Sacubitril/Valsartan,2016-02-01,1,68604
17,0102000H0,Belladonna Alkaloids,2017-07-01,3,2660
18,0601023AL,Dapagliflozin/Metformin,2014-04-01,7,10924
19,0301040V0,Aclidinium Brom/Formoterol,2015-01-01,5,31042
20,0409010AB,Opicapone,2016-11-01,4,2172
21,0301040Y0,Indacaterol/Glycopyrronium,2014-12-01,2,42728
22,1106000AM,Tafluprost & Timolol,2015-08-01,7,3000
23,0403040AB,Vortioxetine,2015-09-01,1,45498
24,0408010AL,Brivaracetam,2016-02-01,3,20440
25,0601023AN,Empagliflozin,2014-08-01,1,333276
26,0205051AC,Perindopril + Calcium Channel Blocker,2014-04-01,1,1112
27,0301020T0,Umeclidinium Brom,2014-10-01,1,113612
28,0402020AD,Aripiprazole,2014-03-01,1,2260
29,0302000V0,Fluticasone Furoate (Inh),2014-01-01,136,551875
30,0402010AI,Lurasidone,2014-09-01,1,7350
31,0409010AA,Safinamide,2016-06-01,1,2460
32,0601023AU,Ins Degludec/Liraglutide,2014-11-01,5,4172
33,1306010AB,Clindamycin/Tretinoin,2014-06-01,1,4586
34,0601023AP,Canagliflozin/Metformin,2014-12-01,5,3576
35,0704050AC,Avanafil,2014-04-01,1,5556
36,0301011AB,BeclometDiprop/Formoterol/Glycopyrronium,2017-08-01,1,26167
37,1201010AE,Ciprofloxain/Dexameth,2015-10-01,2,6410
38,0208020AA,Edoxaban,2015-07-01,1,229734
39,1306030A0,Brimonidine Tart (Rosacea),2014-04-01,175,1562
