bnf_code,bnf_name,form_route,total_items,total_cost,total_qty
0302000V0BCAAA0,Trelegy Ellipta_Inha 92/55/22mcg (30 D),powderinhalation.inhalation,121434,5612027.069369963,135708
0302000K0AAAUAU,Budesonide/Formoterol_InhaB/A 400/12(60D,powderinhalation.inhalation,16690,621346.5983600008,23878
0302000N0BDACBL,Flutiform_Inha 50/5mcg (120 D),pressurizedinhalation.inhalation,14098,234523.7849000024,17518
0301011U0BBAFAH,Serevent_Evohaler 25mcg (120 D),pressurizedinhalation.inhalation,5153,172624.9164199993,6348
0302000N0AABFBF,Fluticasone/Salmeterol_Inh 125/25mcg120D,pressurizedinhalation.inhalation,26752,735811.9124399947,33760
0301040V0AAAAAA,Aclid/Formot_PdrFor Inh 396/11.8mcg(60D),powderinhalation.inhalation,3000,102273.18231999979,3386
0302000K0BBAHAG,Pulmicort_Turbohaler 200mcg (100 D),powderinhalation.inhalation,5921,100102.4381600003,7556
0302000V0AAABAB,Fluticasone/Vilanterol_Inha 92/22mcg 30D,powderinhalation.inhalation,14894,358559.0369799994,17534
0302000C0AAABAB,Beclomet Diprop_Inha 100mcg (200D),pressurizedinhalation.inhalation,11,51.116809999999994,11
0302000N0AABGBG,Fluticasone/Salmeterol_Inh 250/25mcg120D,pressurizedinhalation.inhalation,26670,899005.5642799927,32992
0302000N0BCABAY,Seretide 250_Accuhaler 250mcg/50mcg(60D),powderinhalation.inhalation,45040,1939514.5805200115,59630
0301011U0AAAAAA,Salmeterol_Pdr For Inh 50mcg Disk + Dev,powderinhalation.inhalation,1,32.63159,15
0301020I0AAAAAA,Ipratrop Brom_Inha 20mcg (200 D),pressurizedinhalation.inhalation,1,5.17796,1
0301011E0AAADAD,Formoterol Fumar_Inh 12mcg (100D) CFF,pressurizedinhalation.inhalation,1951,60932.73238999998,2181
0301020R0BBAAAA,Eklira_Inh 322mcg (60D) (Genuair),powderinhalation.inhalation,20288,687600.3506499974,22765
0302000N0BJAABF,Aloflute_Inh 125mcg/25mcg (120D),pressurizedinhalation.inhalation,224,5884.469479999996,282
0302000K0AAALAL,Budesonide/Formoterol_InhaB/A 100/6(120D,powderinhalation.inhalation,10360,338505.3962599961,13008
0302000N0AABHBH,Fluticasone Prop_Inha 50mcg (120 D) CFF,pressurizedinhalation.inhalation,4724,35357.687429999816,5819
0301011U0BGAAAH,Soltel_Inha 25mcg (120D) CFF,pressurizedinhalation.inhalation,2246,53907.78021999998,2907
0302000N0BCACAZ,Seretide 500_Accuhaler 500mcg/50mcg(60D),powderinhalation.inhalation,78050,2849142.0385999754,93622
0302000K0BBAKAK,Pulmicort_Turbohaler 100mcg (200 D),powderinhalation.inhalation,2117,33109.16134000006,2499
0301011R0BEAIAP,Ventolin_Evohaler 100mcg (200 D),pressurizedinhalation.inhalation,514195,978806.0462499919,697902
0302000N0BCADBE,Seretide 50_Evohaler 50mcg/25mcg (120 D),pressurizedinhalation.inhalation,55366,1165231.248779998,69640
0302000R0AAAAAA,Mometasone Fur_Pdr For Inh 200mcg (30 D),powderinhalation.inhalation,53,1182.0892199999998,81
0302000C0BPAABE,Clenil Modulite_Inha 50mcg (200D),pressurizedinhalation.inhalation,68616,269618.65422999975,78199
