pct,month,BNFCode,BNFName,TotalItems,TotalCost
02A,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,3,83.15
02M,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,60,1678.7500000000002
99C,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,12,444.61
00J,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,31,901.1999999999999
10A,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,33,781.6399999999999
04N,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,35,815.99
04R,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,38,1481.0899999999997
10V,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,30,999.1499999999999
11M,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,108,2993.7999999999997
99J,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,109,3062.31
08X,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,27,810.6399999999999
99H,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,54,1408.4999999999995
00T,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,4,152.92000000000002
04M,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,3,79.1
06D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,11,533.06
10C,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,12,507.32000000000005
08W,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,39,912.4699999999999
03Q,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,5,114.8
05F,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,27,819.54
04V,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,43,1517.96
06F,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,15,355.93
10K,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,35,1109.6699999999998
05A,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,35,1161.3799999999999
07P,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,18,599.04
09P,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,40,1197.04
15E,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,155,4721.7300000000005
99N,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,46,1505.4999999999995
05D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,12,356.32
02F,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,34,1115.76
05N,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,151,4382.3200000000015
11E,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,31,995.8599999999998
03F,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,10,294.61
10L,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,17,552.21
02D,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,14,346.53000000000003
08V,2015-08-01,0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg            ,12,363.91999999999996
