bnf_code,presentation,form_route,chemical,match_bnf_code,match_presentation
0302000C0AABFBF,Beclomet Diprop_Inha 100mcg (200 D) CFF,pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABJBJ,Beclomet Diprop_Pdr For Inh 100mcg(200 D
0302000C0AAABAB,Beclomet Diprop_Inha 100mcg (200D),pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABJBJ,Beclomet Diprop_Pdr For Inh 100mcg(200 D
0302000C0AABVBV,Beclomet Diprop_Inha 200mcg (200 D) CFF,pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABUBU,Beclomet Diprop_Pdr For Inh 200mcg(200D)
0302000C0AAARAR,Beclomet Diprop_Inha 200mcg (200D),pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABUBU,Beclomet Diprop_Pdr For Inh 200mcg(200D)
0302000C0AABWBW,Beclomet Diprop_Inha 250mcg (200 D) CFF,pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABKBK,Beclomet Diprop_Pdr For Inh 250mcg(100 D
0302000C0AAACAC,Beclomet Diprop_Inha 250mcg (200D),pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABKBK,Beclomet Diprop_Pdr For Inh 250mcg(100 D
0302000C0AABEBE,Beclomet Diprop_Inha 50mcg (200 D) CFF,pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABIBI,Beclomet Diprop_Pdr For Inh 50mcg(200 D)
0302000C0AAAAAA,Beclomet Diprop_Inha 50mcg (200D),pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABIBI,Beclomet Diprop_Pdr For Inh 50mcg(200 D)
0302000C0AAATAT,Beclomet Diprop_Inha B/A 100mcg (200 D),pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABJBJ,Beclomet Diprop_Pdr For Inh 100mcg(200 D
0302000C0AAAUAU,Beclomet Diprop_Inha B/A 250mcg (200 D),pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABKBK,Beclomet Diprop_Pdr For Inh 250mcg(100 D
0302000C0AAASAS,Beclomet Diprop_Inha B/A 50mcg (200 D),pressurizedinhalation.inhalation,Beclometasone Dipropionate,0302000C0AABIBI,Beclomet Diprop_Pdr For Inh 50mcg(200 D)
