month,year,bnfcode,bnfname,total_items,total_qty,adq,TotalCost
2012-02-01,2012,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1160,66063,8808.394560813005,7491.989999999997
2011-10-01,2011,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1175,65227,8696.927962976999,7379.300000000003
2013-03-01,2013,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3955,232772,155181.3220050961,134705.50000000006
2018-02-01,2018,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,431,24155,3220.664677905002,143280.12263999984
2018-11-01,2018,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,849,41233,13744.329649851981,273907.05431999965
2015-02-01,2015,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3325,188504,125669.32415947196,242979.41999999987
2018-02-01,2018,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,1993,114123,76081.99444601421,717785.4281200015
2017-11-01,2017,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1084,53328,17775.995236031962,353142.7911599993
2017-12-01,2017,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1108,53809,17936.328526395955,356992.2744399996
2012-07-01,2012,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2994,178393,59464.317396891965,29401.84999999999
2013-09-01,2013,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3759,216936,144623.98944244802,279163.31999999995
2016-04-01,2016,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,788,45685,6091.329571935002,184062.79000000004
2016-02-01,2016,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1650,84730,28243.32576411998,290835.9
2017-11-01,2017,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,484,29539,3938.530901289004,174639.09622000006
2013-04-01,2013,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3950,230916,153943.9887620881,297241.5999999999
2013-02-01,2013,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1042,63904,8520.528071904004,27869.570000000018
2013-02-01,2013,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3679,214188,142791.98957618396,59564.96999999998
2018-04-01,2018,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,926,44632,14877.329346207971,296478.75594
2015-07-01,2015,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1870,98160,32719.991231039967,129706.32999999999
2017-12-01,2017,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2318,130446,86963.99365162797,820003.2478999993
2015-09-01,2015,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,821,48276,6436.796025276004,91037.14999999994
2011-09-01,2011,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,4022,239223,159481.98835781394,59960.20999999998
2014-06-01,2014,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3727,213709,142472.6562661621,275040.69000000006
2012-01-01,2012,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3094,182431,60810.31703616393,29827.179999999993
2015-03-01,2015,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1921,102910,34303.32414003994,123706.42000000009
2014-11-01,2014,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,849,48881,6517.462642131001,50422.58999999999
2018-01-01,2018,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2240,124360,82906.66061448015,782059.1593499982
2018-10-01,2018,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,390,20533,2737.7316427830006,121965.07836000004
2014-09-01,2014,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1906,106373,35457.65716401198,127734.96
2018-04-01,2018,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,440,26964,3595.1977799640035,160259.13407
2014-06-01,2014,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1902,101998,33999.324221511946,122320.12999999996
2016-10-01,2016,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1449,71615,23871.66026905994,475026.46999999974
2014-02-01,2014,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3485,199840,133226.65694112,257084.18999999997
2015-08-01,2015,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1668,88835,29611.65873073996,159026.7
2014-08-01,2014,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3555,202328,134885.32348670406,260562.24000000017
2018-09-01,2018,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,857,39612,13203.99646132798,263140.9880000001
2018-08-01,2018,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg,399,21436,2858.1315684360025,127412.11949999997
2015-06-01,2015,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1856,100236,33411.99104558397,120599.25999999997
2014-05-01,2014,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1042,58392,7785.595192392004,60359.54000000003
2017-03-01,2017,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1458,74280,24759.993364319966,493313.99222
2016-07-01,2016,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1622,84639,28212.992438915993,485317.5600000001
2010-10-01,2010,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3319,198189,66062.98229511599,32317.539999999994
2014-12-01,2014,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,928,56688,7558.395332688008,58568.01999999994
2017-04-01,2017,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2522,139342,92894.659885356,875333.1842999989
2010-12-01,2010,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3610,217988,72662.64719307196,35574.85
2016-12-01,2016,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3072,169930,113286.65839673988,1068026.0100000005
2012-07-01,2012,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3740,223621,149080.65578377788,61806.81000000002
2013-04-01,2013,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1115,66245,8832.661212495004,68658.93000000004
2011-02-01,2011,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3861,227815,151876.65557966998,57110.11999999997
2016-08-01,2016,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,709,40402,5386.930006902002,240295.92000000004
2013-08-01,2013,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2197,124379,41459.655555475976,149338.68
2018-07-01,2018,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,903,43717,14572.329427947978,290555.28423000034
2015-04-01,2015,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3478,198484,132322.65700711205,255768.41999999998
2014-03-01,2014,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg               ,3795,215063,143375.322866934,277047.37000000017
2011-11-01,2011,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,3190,191411,63803.64956728398,31259.840000000026
2012-01-01,2012,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1138,62747,8366.261500497008,7111.2300000000005
2017-08-01,2017,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,2450,137906,91937.32662190791,866040.2074900011
2013-07-01,2013,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,1043,61654,8220.528257154006,63822.22000000006
2016-01-01,2016,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,794,47132,6284.262786132005,152914.79999999993
2018-06-01,2018,0403010Y0AAAAAA,Trimipramine Mal_Cap 50mg,1997,109083,72721.99469129408,686854.5997200004
2013-06-01,2013,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,2052,116235,38744.98961633994,139242.75999999998
2014-10-01,2014,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg               ,1978,107072,35690.65710156798,128528.10999999996
2016-07-01,2016,0403010Y0AAABAB,Trimipramine Mal_Tab 10mg               ,749,42554,5673.863163054002,218857.85999999996
