month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2019-07-01,06A,M92010,Levothyrox Sod_Tab 50mcg,1,11.94805,336
2018-12-01,06A,M92010,Levothyrox Sod_Tab 25mcg,1,20.40244,360
2018-12-01,06A,M92010,Levothyrox Sod_Tab 50mcg,1,11.26196,336
2018-08-01,06A,M92010,Levothyrox Sod_Tab 25mcg,1,23.87937,360
2018-08-01,06A,M92010,Levothyrox Sod_Tab 50mcg,1,12.27203,336
2019-05-01,06A,M92016,Levothyrox Sod_Tab 100mcg,1,34.2777,1000
2019-02-01,06A,M92022,Levothyrox Sod_Tab 25mcg,1,18.6198,360
2019-06-01,06A,M92022,Levothyrox Sod_Tab 25mcg,1,19.59114,360
2018-11-01,06A,M92010,Levothyrox Sod_Tab 25mcg,1,18.93832,336
2018-10-01,06A,M92022,Levothyrox Sod_Tab 25mcg,1,22.66242,360
2019-05-01,06A,M92010,Levothyrox Sod_Tab 25mcg,1,19.57706,360
2019-01-01,06A,M92010,Levothyrox Sod_Tab 50mcg,1,10.92742,336
