month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2019-04-01,12D,J83033,Levothyrox Sod_Tab 25mcg,1,19.58605,360
2019-05-01,12D,J83059,Levothyrox Sod_Tab 50mcg,1,20.74717,604
2019-05-01,12D,K84012,Levothyrox Sod_Tab 50mcg,1,71.73878,2100
2019-04-01,12D,J83059,Levothyrox Sod_Tab 25mcg,1,27.1581,500
2018-11-01,12D,J83036,Levothyrox Sod_Tab 50mcg,3,57.25413,567
2018-09-01,12D,J83038,Levothyrox Sod_Tab 50mcg,1,12.2596,336
2019-06-01,12D,J83035,Levothyrox Sod_Tab 50mcg,1,17.242160000000002,504
2018-08-01,12D,J83022,Amlodipine_Tab 5mg,1,13.31008,365
2018-08-01,12D,J83033,Levothyrox Sod_Tab 25mcg,1,23.87937,360
2019-07-01,12D,J83033,Levothyrox Sod_Tab 25mcg,1,18.638679999999997,360
2018-12-01,12D,J83033,Levothyrox Sod_Tab 25mcg,1,20.40244,360
2018-09-01,12D,J83036,Levothyrox Sod_Tab 25mcg,1,22.168689999999998,336
