month,bnf_name,bnf_code,quantity,actual_cost
2011-04-01,Intanza_Vac 15mcg/0.1ml Strain Pfs      ,1404000H0BQABAI,1399,11654.979999999998
2011-04-01,Inflexal V_Vac 0.5ml Pfs                ,1404000H0BIAAAF,17,95.92
2011-04-01,Influenza_Vac Inact 9mcg/0.1ml Pfs      ,1404000H0AAAHAH,2,16.72
2011-04-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,1130,6086.220000000005
2011-04-01,Fluvirin_Vac 0.5ml Pfs                  ,1404000H0BBAAAF,34,173.81
2011-04-01,Imuvac_Vac 0.5ml Pfs                    ,1404000H0BNAAAF,6879,41731.189999999944
2011-04-01,Viroflu_Vac Inact 0.5ml Pfs             ,1404000H0BMAAAF,175,1061.79
2011-04-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,8968,52281.730000000054
2011-04-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,13,108.55999999999999
2011-04-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,13263,79567.86999999991
2011-04-01,Mastaflu_Vac 0.5ml Pfs                  ,1404000H0BJAAAF,1104,6605.73
2011-04-01,Agrippal_Vac 0.5ml Pfs                  ,1404000H0BHAAAF,43,231.70999999999998
2011-04-01,Intanza_Vac 9mcg/0.1ml Strain Pfs       ,1404000H0BQAAAH,190,1582.86
2011-04-01,Fluarix_Vac 0.5ml Pfs                   ,1404000H0BFAAAF,420,2083.800000000001
2011-04-01,Influvac Sub-Unit_Vac 0.5ml Pfs         ,1404000H0BCAAAF,2182,10486.099999999997
2011-05-01,Influenza_Vac Inact 15mcg/0.1ml Pfs     ,1404000H0AAAIAI,16,134.07
2011-05-01,Influenza_Vac Inact 0.5ml Pfs           ,1404000H0AAAFAF,7207,40168.950000000055
2011-05-01,Begrivac_Vac 0.5ml Pfs                  ,1404000H0BGAAAF,753,4063.3899999999994
2011-05-01,Enzira_Vac Inact 0.5ml Pfs              ,1404000H0BLAAAF,4254,24836.130000000005
